x1,x2,x3,x4,x5,x6,x7,x8
3620.0,2.0,0.0,0.910775453131647,819.0,869.0,862.0,1070.0
3670.0,1.0,0.0,0.992667283326291,478.0,757.0,941.0,1494.0
3692.0,1.0,0.0,0.997594601355431,501.0,778.0,958.0,1455.0
3682.0,4.0,0.0,0.987532665175149,574.0,779.0,974.0,1355.0
3654.0,1.0,0.0,0.971224296557093,866.0,918.0,963.0,907.0
3620.0,1.0,0.0,0.953800584929942,1204.0,983.0,882.0,551.0
3610.0,3.0,0.0,0.940099482768042,1612.0,985.0,687.0,326.0
3586.0,2.0,0.0,0.942741079617076,1521.0,980.0,717.0,368.0
3605.0,2.0,0.0,0.954240372000474,1200.0,1010.0,763.0,632.0
3600.0,2.0,0.0,0.964972590888835,974.0,921.0,845.0,860.0
3559.0,2.0,0.0,0.966867656157035,644.0,836.0,993.0,1086.0
3503.0,2.0,0.0,0.960581925263474,497.0,710.0,1069.0,1227.0
3439.0,2.0,0.0,0.951231688234493,477.0,732.0,1043.0,1187.0
3373.0,2.0,0.0,0.942305725354101,596.0,800.0,986.0,991.0
3339.0,2.0,0.0,0.935275710807301,832.0,826.0,903.0,778.0
3332.0,2.0,0.0,0.931320890568864,1018.0,864.0,799.0,651.0
3364.0,2.0,0.0,0.931776107869937,1002.0,900.0,791.0,671.0
3436.0,2.0,0.0,0.913791476945371,1068.0,966.0,784.0,618.0
3515.0,1.0,0.0,0.89223782421682,1315.0,1116.0,673.0,411.0
3568.0,1.0,0.0,0.895007826018778,1191.0,1188.0,756.0,433.0
3593.0,1.0,0.0,0.918866820520749,723.0,959.0,1034.0,877.0
3574.0,4.0,0.0,0.96128384855257,372.0,606.0,1060.0,1536.0
