x1,x2,x3,x4,x5,x6,x7
-1207.1357539871126,1556.045798783773,2436.578963630503,-7570.464080144652,5533.984949860108,-781.4152777850879,14.696602305613657
-1480.659456132316,1026.3166963277,4191.97068922857,-9539.089722854833,6525.850766826836,-891.443957292995,12.774529826863258
-2275.352684331405,3213.9534826001077,1172.0700506890537,-7303.9360821744485,5882.285078747334,-908.050510470655,13.506454334858722
-2232.49879008522,3669.816630054772,-371.4738056786037,-5423.187861172092,5057.488663987211,-884.4015023520236,14.252584048163984
-1968.8067715564412,4355.444909149053,-4381.63516028876,1218.3020152079216,1310.4103066337302,-633.052568320626,17.053181450847646
-1827.5385702269712,4714.206179270925,-7163.582496798205,6898.360260702692,-2369.757561349904,-307.53418151504997,18.833552207915783
-1260.8784823419605,4007.655787125143,-8131.117778729514,11138.62759800437,-5866.32068412349,155.20008698486316,17.563219096932198
-1536.4410682865703,4533.010479357695,-7875.756644611832,9346.839071421942,-4468.733270030302,19.39320708338715,17.255300333574656
-1176.998862339359,2147.8865165472316,-95.64337044386865,-3021.8354416815073,2671.51852437956,-521.3405338172782,17.13602680038572
-1214.3395826456774,2343.9335646460518,-1227.5580214382046,-1187.1156049640197,1772.1674358618382,-505.90914514259447,15.326563165062188
-1726.4319449416514,2642.325526505775,-1129.84131503379,-1092.9378694615748,1709.2387207265672,-558.6187252483855,14.608213067903408
-2022.355861933035,2522.548505695358,-680.1805293713263,-1555.221029557714,2119.873430987164,-683.1837058357235,15.289654726027736
-1596.4108216206398,1210.318164384487,2077.139429449662,-5495.43380968557,4418.243070224871,-886.7003318191662,16.81343981024325
-1616.3251491736478,2441.3914327560105,-907.9951218826161,-2185.41660047533,2883.85511220112,-782.0196029410616,17.591328507660013
-1345.7860569529482,3025.387076601398,-4058.7262427814167,3161.863793298923,-359.97618615799524,-477.92628960416386,17.156919893664753
-481.7012831951245,826.6394610839761,-510.99570547718594,71.99317447552657,537.3626737140023,-393.08699345394683,16.647771642472037
-339.11140438600546,308.1398607297608,566.2423016584974,-979.5116460753363,879.331330764449,-372.7815911517079,15.985873971382388
-213.70408655129242,-560.6473758754425,3598.3956241249766,-5415.92008372887,3136.5196399595998,-472.58533571987294,16.586626971269634
-822.5426131226847,1107.7699193134767,1989.1819648150506,-5000.657883611959,3266.0759977029907,-485.02304900867347,19.60678045660711
-1016.6526175931879,1269.4636908181383,2059.206974473011,-5034.055107907557,3251.9469224809377,-505.4950031603553,20.251590457231522
-474.3467622092125,-155.60124734429465,2349.0928638812024,-3401.7335779393816,2225.8470804082385,-528.0603582359664,16.64776458248807
-1076.3694920261526,1608.906391018591,-213.75622137454332,-3711.55616971101,4314.57363530786,-1010.8911644387603,15.450310977678761
