x1,x2,x3,x4,x5,x6,x7,x8
-743.9288868671837,188.3156190816927,697.1870507838096,251.62424390124508,-1298.7559907344673,1938.4583171558384,-1133.6278384035566,17.334667777398966
-79.18397701354364,-1440.7706631113924,1702.32627717044,186.26859324817485,-1341.233369894273,1951.908399337868,-1157.185242088478,15.05160864397749
-867.4726313108494,-575.1947902688011,1814.564837045753,-479.0471604005565,-764.3220610222759,1628.1317881637854,-1056.0780125613646,15.757732566262149
-755.098346416588,-659.8853579344111,2046.3118594837213,-1029.7604691006509,-128.1236080694162,1151.2943936180338,-873.7517711712819,16.306110020032307
-1338.9770272947317,922.1173278040537,622.5709333452056,-650.5630197044442,325.76814909981294,425.53930516526543,-521.6562919184863,18.870603420909635
-1754.0999606214637,1910.7003956880023,-227.76713548657767,-600.7725213277353,1387.6698657997595,-1292.1265455038358,361.1094228480736,18.127517059876666
-1885.1009348225332,2875.256493833869,-1734.3563184017842,880.9079527542002,471.54370549393707,-1300.7271029696253,573.2224152901642,16.275539396740314
-1776.1179428657515,2349.588728197359,-839.2864850272691,92.57380480238542,758.8283116069289,-1175.4435542953568,455.46271084391,16.310779360590555
-1517.6743214518892,1673.0204840773774,-145.9395046108195,-269.4738269281273,503.46663949665844,-372.9753604860964,-13.517823219281473,16.77472062800164
-1804.479468771424,2416.6409368302643,-1374.5757218736862,1271.5695727084892,-1206.945426823588,1279.6512444605996,-763.6713193822892,17.263521510695345
-2065.2522904852517,2378.007186296096,-1640.851998563207,2185.0080755138542,-2193.0828397195314,2126.1446969362387,-1153.1391904639017,17.511893128718764
-2437.497982938324,2457.36928582331,-1821.7001385040248,2408.745305269825,-2102.2827601654094,2055.584925188411,-1178.3431034903804,18.36458173466753
-2034.145602021275,1810.0686110702607,-1257.7683108329873,1772.8285551082834,-1526.4541486175885,1806.8948548682672,-1144.1616838519456,19.9135723035711
-982.8175830766506,351.42741836281516,277.63844502602564,313.4569345371933,-471.2438129734437,1081.5419923925633,-842.0403940504108,20.24829569056494
-1213.0392662412594,1339.1425950349512,-691.0329966379692,793.5649760762886,-590.31535191428,844.3693543845666,-645.3767653375793,19.47463888436067
-1387.0813793225811,2332.1638090226597,-2178.251234414879,2266.9005119555623,-1808.015237027072,1536.6566364312162,-842.2638478789956,19.085757385430284
-1292.808468606858,2238.5374497561115,-2271.495177669185,2621.680628672854,-2279.4246148615607,1893.2329210232704,-970.8322345999189,18.621057000378816
-945.2301367002542,1437.2826156671974,-1388.1278757105047,2104.899975482139,-2154.489713062861,1874.6058101054116,-958.8070675343874,18.92767983188949
-786.7254428498537,496.30244231768324,470.83338855744535,252.04349668510645,-856.8707891855136,985.8201219747292,-600.5636270225178,21.175084867487623
-937.8531592685069,512.6441740304587,550.7026546921904,272.4032542686993,-814.1226218370023,884.3144843215283,-561.602171876308,21.686211046477023
-1534.3618925717715,2272.8706004676487,-2176.5133742257544,2617.759460764759,-2152.906482132017,1792.9250975005098,-972.8533160116316,19.21950210505338
-1419.7159101355785,1716.1496532543706,-1135.1290806012785,737.4959541384496,-246.31373562980656,977.9602487795173,-861.3179496944097,17.648037881684818
