x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
3620.0,2.0,0.0,0.910775453131647,298.0,521.0,680.0,528.0,325.0,797.0,471.0
3670.0,1.0,0.0,0.992667283326291,219.0,259.0,590.0,494.0,379.0,972.0,757.0
3692.0,1.0,0.0,0.997594601355431,200.0,301.0,626.0,482.0,407.0,971.0,705.0
3682.0,4.0,0.0,0.987532665175149,216.0,358.0,634.0,467.0,428.0,963.0,616.0
3654.0,1.0,0.0,0.971224296557093,335.0,531.0,732.0,589.0,366.0,780.0,321.0
3620.0,1.0,0.0,0.953800584929942,462.0,742.0,770.0,572.0,344.0,576.0,154.0
3610.0,3.0,0.0,0.940099482768042,701.0,911.0,806.0,483.0,270.0,327.0,112.0
3586.0,2.0,0.0,0.942741079617076,636.0,885.0,807.0,484.0,276.0,361.0,137.0
3605.0,2.0,0.0,0.954240372000474,507.0,693.0,832.0,490.0,307.0,556.0,220.0
3600.0,2.0,0.0,0.964972590888835,396.0,578.0,720.0,559.0,349.0,678.0,320.0
3559.0,2.0,0.0,0.966867656157035,252.0,392.0,682.0,548.0,406.0,819.0,460.0
3503.0,2.0,0.0,0.960581925263474,200.0,297.0,552.0,585.0,444.0,902.0,523.0
3439.0,2.0,0.0,0.951231688234493,193.0,284.0,556.0,555.0,430.0,966.0,455.0
3373.0,2.0,0.0,0.942305725354101,246.0,350.0,625.0,547.0,421.0,836.0,348.0
3339.0,2.0,0.0,0.935275710807301,325.0,507.0,650.0,568.0,348.0,668.0,273.0
3332.0,2.0,0.0,0.931320890568864,417.0,601.0,672.0,547.0,303.0,568.0,224.0
3364.0,2.0,0.0,0.931776107869937,413.0,589.0,687.0,559.0,303.0,568.0,245.0
3436.0,2.0,0.0,0.913791476945371,446.0,622.0,780.0,528.0,291.0,540.0,229.0
3515.0,1.0,0.0,0.89223782421682,501.0,814.0,949.0,462.0,266.0,404.0,119.0
3568.0,1.0,0.0,0.895007826018778,430.0,761.0,1001.0,516.0,298.0,442.0,120.0
3593.0,1.0,0.0,0.918866820520749,261.0,462.0,776.0,626.0,390.0,753.0,325.0
3574.0,4.0,0.0,0.96128384855257,140.0,232.0,459.0,501.0,443.0,1139.0,660.0
