year,li_ty,networth,debt,income,educ,rent,nstocks,age,anypoor
1998,.149079478532527,.9364548004884884,0,.724262293211834,.7879480261036031,0,0,.7794516074099107,0
1998,.2467960167527836,.9201817625513078,0,.7678640361592375,.9415885127523157,0,.5370557709092177,.7519894393543674,0
1998,.284426492572927,.8460371062132626,0,.639815176234972,1,0,.7618382834383447,.7132305753664655,0
1998,.2927760627325325,.9252555972800521,0,.7303002393170061,.9415885127523157,0,.7568852102325313,.7794516074099107,0
1998,.282473902400305,.7902497985416057,.6663685295530013,.6181783290166943,.9415885127523157,0,0,.6384817502687757,0
1998,.1807572887409304,.940244743632542,.7803167456984874,.789318896950063,.9719187060765365,0,.6184742391663769,.6384817502687757,0
1998,.3005205444533671,.7628002911117894,.7021006604577257,.6344356824438953,.9086178806609829,0,0,.5256438788202771,0
1998,.2422105210907829,.8984735528377739,.7617143860616392,.7605468011380597,1,0,.8615890289338455,.6608372137637015,0
1998,.2317607884703873,.7913310761892394,.7250767793507639,.6400266156422401,.9415885127523157,0,0,.6384817502687757,0
1998,.3312892503995994,.909074836319389,.7847730452070598,.7812692567576687,.9719187060765365,0,0,.6152317323076693,0
1998,.2837327198468296,.8213785721577007,.7479375770060505,.6642745213153589,1,0,0,.5526799685547271,0
1998,.2630000817754169,.9079417463141838,0,.7326956436044995,1,0,.8040711467027138,.8225211282886491,0
1998,.2182866900289608,.8481089381493275,.7565329552748348,.6553916738613088,.8325788262847628,0,.409066619770995,.7132305753664655,0
1998,.2912441936494931,.7989932326452469,0,.599842171327122,.7879480261036031,0,0,.6823644918520662,0
1998,.3028395317419705,.8103079597603434,.7197277362554374,.6291699755274016,.9415885127523157,0,.6956373790027836,.6608372137637015,0
1998,.2643352209203002,.7958988883604667,.6083703968065192,.6390676321484917,.9719187060765365,0,0,.5785140335390149,0
1998,.2631889901099691,.8982877014921904,.8014637533294084,.7053808912859288,.9415885127523157,0,.8340483140544451,.6823644918520662,0
1998,.2812410237272291,.758608243893425,.7082540116546453,.6003315371917181,.7879480261036031,0,0,.5116389961705605,0
1998,.2512352728165663,.8800703061073718,.6452215219227618,.7364374884637412,.9719187060765365,0,.7293444953531311,.5526799685547271,0
1998,.2568991524047745,.7995035891935952,.6495563747405155,.6397091022948617,.9415885127523157,0,0,.5256438788202771,0
1998,.2204322137509269,.8970251784988894,.8053971034859615,.8032011875787068,1,0,.243115131905151,.5393191223396259,0
1998,.3005254107418372,.7208590773920983,.5935539640089593,.5846026539824448,.9415885127523157,.7581897300756111,.243115131905151,.2469297766116395,0
1998,.2550930664045163,.783719795686708,.6739592794818693,.6218748340922535,.9415885127523157,0,.409066619770995,.5657405529602882,0
1998,.2115317313411119,.6994732419016845,.5879234659727575,.5609165071560582,.8325788262847628,.6852222685853291,0,.2004113076059622,0
1998,.2733066749606322,.897228002799431,.6780010041775294,.7385090033794922,1,0,.7528023912326751,.7329329911820494,0
1998,.1974717029571875,.8436120175238344,.7441656973752038,.6565228171809147,.8325788262847628,0,.243115131905151,.6384817502687757,0
1998,.2085285017401476,.7818334125609704,.7148603136019461,.6260179792686165,.6098524523962031,0,0,.703122750531628,0
1998,.2487270139209713,.8177191953958338,.7159350204858864,.6795632028994444,.9415885127523157,0,.4862297055856624,.4825743579415387,0
1998,.2838811678804977,.7974564200040644,0,.5709469416770503,.8325788262847628,0,0,.8307647392269041,0
1998,.2989662102284466,.8079383709775058,.6143565066694936,.5792231601915436,.7879480261036031,0,0,.6269730652164485,0
1998,.2308174245909073,.7246701086506142,.6091746793067879,.5909411312670974,.4162885977647424,0,0,.6823644918520662,0
1998,.2828591515171681,.7727203822310994,.6962983197970494,.6524805405058657,.9415885127523157,0,.409066619770995,.3854873982660067,0
1998,.3368738431651079,.8237331720591848,0,.5810848916879504,.7879480261036031,0,0,.7425395071597093,0
1998,.2393352906684079,.8459569694302334,0,.6748413916259723,.9415885127523157,0,.4525226072425613,.4519794403700272,0
1998,.213430890728604,.8203682853827949,.5507187467058217,.6229450130080086,.7879480261036031,0,0,.4972884011920217,0
1998,.2828954226493322,.791900996499434,.6539275304147353,.6320008888350762,.8325788262847628,0,0,.6384817502687757,0
1998,.200253209155502,.7573311775451232,.7592934591849335,.6212522931240381,.9415885127523157,0,0,.6928364577691259,0
1998,.245755539651411,.7661453973369474,.7311469970310789,.6367516572961927,.9086178806609829,0,.3478188245557401,.6152317323076693,0
1998,.1495889356572845,.9193543091845617,0,.6988251335653212,.7879480261036031,0,.7568852102325313,.7329329911820494,0
1998,.3266067834381337,.8957964847903997,0,.6779302336213631,.8325788262847628,0,.8003411977040977,.8056741993156974,0
1998,.2093795844919273,.8620916704347765,.8542180463594838,.5740104606156967,1,0,.243115131905151,.6823644918520662,0
1998,.3074031777515769,.8336725792671894,.591354621510411,.601533324634005,.7879480261036031,0,.243115131905151,.4360558975959899,0
1998,.2545206035144869,.6953734141616075,.6256161517951702,.5903440407723463,.9086178806609829,.6914235829408152,0,.2241357642106127,0
1998,.2801291954713804,.8745079832954109,.6090704736015231,.694340661826968,.7879480261036031,0,0,.5393191223396259,0
1998,.2467608545107115,.8978305941090479,.7670228561869902,.754327142609674,1,0,.243115131905151,.4028370303768209,0
1998,.2451023205549905,.7338119165502294,.6427290028068551,.6003315371917181,.9415885127523157,.5625792015045848,0,.3854873982660067,0
1998,.1641453039941496,.735629153131749,.6532612410929488,.5686309668248593,.9086178806609829,0,0,.6152317323076693,0
1998,.284356208464436,.7902739798453297,0,.5556039798496615,.5252980629634013,0,0,.9620841562187412,0
