year,debt,mrthel,nh_mort,heloc,resdbt,othloc,ccbal,install,edn_inst,veh_inst,oth_inst,odebt,lloan1,lloan2,lloan3,lloan4,lloan5,lloan6,lloan7,lloan8,lloan9,lloan10,lloan11,lloan12,ploan1,ploan2,ploan3,ploan4,ploan5,ploan6,ploan7,mort1,mort2,mortpay,rent,paymort1,paymort2,paymort3,paymorto,payloc1,payloc2,payloc3,payhi1,paylc1,payore1,payore2,payorev,payveh1,payveh2,payveh3,payveh4,payvehm,payveo1,payveo2,payedu1,payedu2,payedu3,payedu4,payiln1,payiln2,payiln3,payiln4,payiln5,paymarg,payins,paypen1,paypen2,paypen4,paypen5,revpay,conspay,tpay,income,norminc,bussefarminc,intdivinc,ssretinc,transfothinc,wageinc,kginc,kgtotal,farmbus_kg,networth,asset,nstocks,nvehic,farmbus,pirmort,pircons,pirrev,pirtotal,debt2inc,levratio,ntrad,equitinc,age,educ,Lli_ty
2013,.0000170446715456,0,0,0,0,0,0,0,0,0,0,.0003133333333333,0,0,0,0,0,0,.0008639705882353,0,0,0,0,0,0,0,0,0,0,0,.0019731318219983,0,0,0,.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0001184469239334,.0002368295728058,.0077527628718666,0,.0018764659890539,.4347826086956522,.0007348675304583,.0105672499788655,.2509454386032556,.0070140280561122,.1442962451502923,.0012774009402902,0,.0909090924854121,.0017622058671089,0,0,0,0,.0004179220018412,.0000168157423971,0,0,.4675324799178482,.4666666656070285,.5388098051033795
2013,.0000598376767025,0,0,0,0,0,.006198347107438,.0000544215712596,.033348154735438,0,0,0,0,0,0,.0213007668276058,0,0,0,0,0,.006198347107438,0,0,0,0,0,.0001141205112599,0,.00139146567718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000375,.000159608427325,.0001995105341562,.0001302916163267,.0001415828967861,.0077527628718666,0,0,.4347826086956522,.0010636240572423,.0105672499788655,.2509454386032556,.0070140280561122,.144290872849453,.0012801096840343,0,.0909090924854121,.0017622058671089,0,.0000646107288493,.0014601511936369,.0000798797544279,.0013337936228973,.0000322972062018,0,0,.0519480767188134,.8000000015894573,.8528343567410616
2013,.0001091584284088,0,0,0,0,0,.0913223140495868,.0000290248380051,0,.0012836970474968,0,0,0,0,0,.0113604089747231,0,0,0,0,0,.0913223140495868,0,0,0,0,.0012836970474968,.0016813755325624,0,0,0,0,0,0,.0055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0024027459954233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.005525,.0002234517982549,.0008113428389019,.0003079620022268,.0003346504833125,.0077527628718666,0,0,.4347826086956522,.0025140204989364,.0105672499788655,.2509432965325588,.0070140280561122,.1442961669129015,.001296636064406,0,.1818181849708242,.0017622058671089,0,.000038269431703,.0091016091070033,.0001374341415925,.0010294150781848,.0000156550970788,0,0,.4545454669308353,.5999999952316283,.4702406635563152
2013,.0010952108099483,.0250765696784073,.0250765696784073,0,0,0,.0826446280991736,.0000725620950128,.0444642063139173,0,0,0,.0009505634446678,0,0,0,0,0,0,0,.0028401022436808,.0826446280991736,0,0,.0156436589443516,0,0,.0015216068167985,0,.0018552875695733,0,0,0,.0059636992221262,0,.0303964757709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.051440329218107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.005,.0002660140455416,.0022664396680145,.0008824295833037,.000798012690976,.0077527628718666,.0000824490670888,0,.4456521739130435,.0058015857667763,.0105672394116155,.2508944573206694,.0070140280561122,.1457228192155309,.003168476906415,0,.1818181849708242,.0017622058671089,.0019993213315761,.0000158997319316,.0028745705825514,.000133983545145,.0036045250480088,1.86729048224e-06,0,.0000781926170588,.3896104019957704,1,.4539296383323735
2013,.0000208162584407,0,0,0,0,0,.0084297520661157,.0000134239875774,0,.0005937098844673,0,0,.0000134239875774,0,0,0,0,0,0,0,0,.0084297520661157,0,0,0,0,.0005937098844673,.0001552038953135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1349206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00051,.0003617791019366,.0004160459672271,.0006028948428209,.0006551426769464,.0077527628718666,0,0,.4347826086956522,.0049313479017598,.0105672499788655,.2511389318493067,.0070140280561122,.1447377257073749,.0017934166235512,0,.2727272774562364,.0017622058671089,0,.0000317801614406,.0004290321352073,.0000361266140886,.0001005315269559,1.29396666770e-07,.0033333333699792,5.32663712738e-06,.5064935188788873,.8666666783226865,.4643397943341538
2013,2.24844603367e-06,0,0,0,0,0,.0025619834710744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0025619834710744,0,0,0,0,0,.0000471698113208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000155,0,.0000164928708236,.0002286025631914,.0002484136279974,.0077527628718666,0,0,.4347826086956522,.0018468381357571,.0105672499788655,.2509754275930122,.0070140280561122,.1443339946913844,.0013183516673436,0,.1818181849708242,.0017622058671089,0,0,.0003297830934839,3.60825545146e-06,.0000273858680429,1.65230496946e-07,0,0,.5844155968009651,.5999999952316283,.4529764170992558
2013,.0015720264301205,.0375191424196018,.0375191424196018,0,0,0,0,.0001504937850566,.0444642063139173,.0034467265725289,0,0,.0002665931370771,0,0,0,0,.18,0,0,0,0,0,0,.0234057797946023,0,.0034467265725289,0,0,.0018552875695733,0,0,0,.0151685393258427,0,.0674008810572687,.0427756653992395,0,0,0,0,0,0,0,0,0,0,.1095238095238096,.0857142857142857,0,0,0,0,0,.0493827160493827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0008682698446478,.0046031070440519,.0009191481297231,.0009331600015445,.0077527628718666,2.06122667722e-06,0,.4347826086956522,.0074937149487527,.0105672499788655,.2509247319198523,.0070140280561122,.1444895697431182,.0018292694340075,0,.1818181849708242,.0017622058671089,.0048820441392362,.0000498235472736,0,.0002612462897764,.0049671504189192,9.14052231457e-06,.0002777777808316,6.15421329694e-06,.3636363760217444,1,.4193170882503128
2013,.0008137924031536,0,0,0,.0226702883409946,0,.0305785123966942,0,0,0,0,0,.000787298730889,0,0,0,0,0,0,0,0,.0305785123966942,0,0,.0129567709577263,0,0,.0005629945222155,0,0,0,.0156816727117559,.0401376146788991,.0079515989628349,.0231481481481481,0,0,0,0,0,0,0,0,0,.0054451166810717,.0589430894308943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00185,0,.002154713768887,.0003079620022268,.0003346504833125,.0077390815256221,7.00817070255e-07,0,.4377826086956522,.0022626184490427,.0105672499788655,.250952578838912,.0070140280561122,.1443615042619688,.0015207267821209,0,.1818181849708242,.0017622058671089,.0076384327796113,0,.0030475976195396,.0003649890317704,.0076744433071322,.0000106521800639,0,1.16462418105e-06,.2207792455499822,.8666666783226865,.4517302750414041
2013,.0000376796036933,0,0,0,0,.0000156702969521,.0045454545454545,.0000293513674327,.0133392618941752,0,7.58273892884e-06,0,0,0,.0009213787511632,0,0,0,0,.0375231910946197,0,.0045454545454545,0,0,0,0,0,.0001749847839318,0,.0007504638218924,0,0,0,0,.016358024691358,0,0,0,0,.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0016114285714286,0,0,0,0,0,0,0,0,0,0,.000775,.0004000851244946,.0004825494786125,.0001599033473101,.0001737608278738,.0077527628718666,0,0,.4347826086956522,.0013053567975247,.0105672499788655,.2509454386032556,.0070140280561122,.1442961056269453,.0012815675360045,0,.0909090924854121,.0017622058671089,0,.0001319654195163,.0024588225038527,.000157424258751,.0006843513946619,.000016351049762,0,7.66830736493e-07,.1688311936019303,.6666666679912143,.4851715421064627
2013,.0000652774654936,0,0,0,0,0,0,.0000653058855115,.0400177856825256,0,0,0,0,0,0,0,0,0,0,.0834879406307978,0,0,0,0,0,0,0,0,0,.001669758812616,0,0,0,0,.0162345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0401234567901235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002074909555225,.0002074909555225,.0002487385402601,.000270294621137,.0077527628718666,0,0,.4347826086956522,.0020305550183717,.0105672499788655,.2509454386032556,.0070140280561122,.1442872478503429,.0012770204987531,0,.0909090924854121,.0017622058671089,0,.000043996829645,0,.000043515447174,.0007621677845128,.0000728744939271,0,0,.1818182065889433,.33333331214057,.8007898458126229
2013,.0002326053687089,.0045558958652374,.0045558958652374,0,0,0,.0038842975206612,.00005659843411,0,.0025032092426187,0,0,0,0,0,.02215279750071,0,.0238,0,0,0,.0038842975206612,0,0,.0028421304036303,0,.0025032092426187,.0000715155203895,0,0,0,0,0,.0036387208297321,0,.0185462555066079,0,0,0,0,0,0,0,0,0,0,0,.2500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000235,.0006703553947648,.0015912960204299,.000713050482079,.0007748445805928,.0084140279403493,0,0,.4347826086956522,0,.0105672499788655,.2509430107803278,.0070140280561122,.1445827061411162,.0016569385482981,0,.1818181849708242,.0017622058671089,.0015135371946355,.0000495924419607,.0001646142007902,.0001165654654871,.000946976408563,2.01876273835e-06,0,6.83246186215e-06,.4155844279697963,.5999999952316283,.4682589922906698
