year,age,educ,rent,norminc,kgtotal,networth,nstocks,levratio,equitinc,li_ty
2019,.8363533981978845,.5260621158748248,,,,,,,,
2019,,,.6147997740688821,,,,,,,.5171915772864956
2019,,,.6014175798515138,,,,,,,
2019,,.8070764650096169,,,,,,,,
2019,,,.4369122230509361,,,,,,,.3895803627294447
2019,,.5260621158748248,.4929173255661318,,,,,,,
2019,,,,,,,,,,
2019,,.8070764650096169,,.6507311557619266,.8575832876412199,.881448421787114,.9448397848793104,,,
2019,.7853779190540668,.5260621158748248,,,,,,,,
2019,.2072395024595836,.5260621158748248,,,,,,,,
2019,.6081240125995697,,.4929173255661318,,,,,,,
2019,.7213550861850477,.8070764650096169,,,,,,,,
2019,,.5260621158748248,.6179202872737694,,,,0,,,
2019,,.5260621158748248,,.5434265578536822,,,,,,
2019,.3964189291967949,.5260621158748248,,,,,,,,
2019,.7024296552382845,.5260621158748248,,,,,.7094593222454709,,,
2019,.6081240125995697,.5260621158748248,,,,,,,,
2019,.6596763927307226,.5260621158748248,,,,,,,,
2019,.9876771265844755,,,,,,,,,
2019,,.8070764650096169,,,,,,,,
2019,,.5260621158748248,,,,,,,,
2019,.8476305187854526,,,,,,,,,
2019,.7554005697323997,0,.5809578594938587,,,,,,,.4219082508421373
2019,.4553807316485231,.5260621158748248,,,,,,,,
2019,,.8070764650096169,,,,,.3531741940169711,,,
2019,,0,.5822160165759439,,,,,,,.4800171425948818
2019,.7853779190540668,.5260621158748248,,,,,,,,
2019,,,.4369122230509361,,,,,,,.4007872258360423
2019,.6352202709542732,1,,.575417053763921,,,.5813328002491409,,,
2019,,,,,,,,,,
2019,,,.6523764616181261,,,,,,,
2019,.6081240125995697,.8070764650096169,,,,,,,,
2019,,0,.6861033890161048,,,,,,,
2019,.9149440590928211,,,,,,,,,
2019,,.8070764650096169,.6476891337422244,,,,,,,
2019,.9539336895154389,,,,,,,,,
2019,,,.5712956963970048,,,,,,,
2019,,.5260621158748248,,.3679623951720864,,,,,,
2019,,.5260621158748248,,,,,,,,
2019,.7389541599511069,.5260621158748248,,,,,,,,
2019,.2072395024595836,1,,.3060821552232804,,.2415092672037631,,,,
2019,.3192315895366246,1,,,,,,,,
2019,.7554005697323997,.8070764650096169,,,,,.3531741940169711,,,
2019,,,.5592569147003629,,,,,,,
2019,,,,,,,,,,
2019,.4553807316485231,,,,,,.7962401807941354,,,
2019,.5777477678693005,1,,.5735783162907362,.7913098591635209,.7579543885209414,.5813328002491409,,,
2019,.5777477678693005,,,,,,,,,
2019,.6352202709542732,,,,,,,,,
2019,,,,,,,,,,
2019,,.5260621158748248,.4625870281430516,,,,,,,
2019,.3192315895366246,.5260621158748248,.6014175798515138,,,,,,,.7419189189602113
2019,,,.6323901534220235,,,,,,,.5775894234103067
2019,.8584230952505598,,,,,,.3260291319964985,,,
2019,.3964189291967949,.5260621158748248,,,,,,,,
2019,.7389541599511069,,,,,,,,,
2019,.2072395024595836,,,.6117715611081738,.5402502583221058,.7083695643052643,.745115762038423,,,
2019,.5031006612526173,.8070764650096169,,.5206198025011372,,,.5287470453045919,,,
2019,.6596763927307226,,,,,,,,,
2019,.8476305187854526,.5260621158748248,,,,,,,,
2019,,,.5592569147003629,,,,,,,.6813720730470602
2019,,,.4929173255661318,,,,,,,
2019,.5031006612526173,.8070764650096169,,.3047818682482299,.4873029819326832,.540863136401096,.8480943574086571,,,
2019,.6819614094521553,.8070764650096169,,,,,,,,
2019,1,.5260621158748248,,,,,,,,
2019,.7024296552382845,.8070764650096169,,,,,.6479442815279641,,,
2019,.7554005697323997,,,,,,,,,
2019,,,,,,,,,,
2019,,0,.8635345953527044,.4521605286328894,,.5334583150864958,,,,
2019,.3192315895366246,,,,,,,,,
2019,.3192315895366246,,,,,,,,,
2019,.6596763927307226,.5260621158748248,,,,,,,,
2019,.5031006612526173,,,,,,,,,
2019,0,,.6179202872737694,,,,,,,
2019,,,,,,,,,,
2019,.7213550861850477,.8070764650096169,,.3803040263882897,,,.9141111723479964,,,
2019,.7554005697323997,.5260621158748248,,,,,,,,
2019,.8584230952505598,.8070764650096169,,.5559545570657068,.6089761742419653,.6330962026250572,.8158826258087639,,,
2019,,,,,,,,,,
2019,,,.4369122230509361,,,,,,,
2019,.2072395024595836,,,,,,,,,
2019,.5431866850539382,0,,,,,,,,
2019,,.5260621158748248,.6590748375243581,,,,,,,
2019,,.5260621158748248,.5345184520568133,,,,,,,
2019,,.5260621158748248,,,,,,,,
2019,.7853779190540668,.8070764650096169,,,,,,,,
2019,,.5260621158748248,,,,,,,,
2019,.7853779190540668,.5260621158748248,,,,,,,,
2019,.8245460941032676,,,,,,,,,
2019,.8584230952505598,,,,,,,,,
2019,,0,,,,,,,,
2019,,,.404022446539247,,,,,,,.4591572554685202
2019,.8476305187854526,,,,,,,,,
2019,,.5260621158748248,.6771465296398707,,,,.5287470453045919,,,
2019,.7554005697323997,.8070764650096169,,.4767222927781139,.4733844814181037,.2704005578744809,,,,
2019,,,.2873662744706524,,,,,,,
2019,.8974795077123054,1,,,,,,,,
2019,.7389541599511069,,,,,,,,,
2019,.6081240125995697,,,,,,,,,
2019,.8363533981978845,,.7348311872149486,,,,0,,,
2019,.7853779190540668,0,,,,,,,,
2019,.8121564386486153,,,,,,,,,
2019,,0,.6245072535689921,,,,,,,
2019,,,.6452735175773913,,,,,,,.516582063229684
2019,1,.5260621158748248,,,,,,,,
2019,,.8070764650096169,,.6600707502057716,.5247998440775774,.6109815745519459,,,,
