year,Lli_ty,networth,debt,income,educ,rent,nstocks,age,anypoor,n
1998,.5424456521770361,.2317913443149649,.3689323028241378,.5459400109633157,.5452432688995373,.6914546545284758,0,.3620934008681749,1,2
1998,.5209509747925262,.7628003448219018,.7021007345691134,.6344357568653656,.889253438857855,0,0,.5202154278933158,0,2
1998,.4466102030115648,.7913310939348506,.7250768269885484,.6400266817921025,.9289787310640769,0,0,.6337435797700838,0,2
1998,.4803869729641398,.9079417462185282,0,.7326956529732552,1,0,.8046442651419566,.819789458759414,0,2
1998,.5109223462507239,.7989932457587191,0,.5998423255924554,.7464763271656569,0,0,.6780141467955607,0,2
1998,.523458011726644,.8103079680941685,.7197277890588628,.629170058682558,.9289787310640769,0,.6970001318225316,.6562889803488481,0,2
1998,.4818304628064392,.7958989031833021,.608370844767761,.6390676996488225,.9657587244761897,0,0,.5733507629377371,0,2
1998,.4805912121226035,.8982877014616926,.8014637641859862,.7053809079627696,.9289787310640769,0,.8344833988047107,.6780141467955607,0,2
1998,.4343595667292066,.8970251784797656,.8053971135386183,.803201189678605,1,0,.2706010783378349,.5339489017920955,0,2
1998,.8075337293817294,.7170723477003227,0,.5894342739729055,.7987669332984193,.6939130460190762,0,.4618880788461632,1,2
1998,.4535163056557823,.7509906876022717,.6997223140898903,.546245269826982,.7464763271656569,0,0,.414072231734729,0,2
1998,.5209562357184986,.7208593443938409,.5935545591978727,.5846028666562533,.9289787310640769,.7582037893321264,.2706010783378349,.2422167486141191,0,2
1998,.4718381575947766,.7837198195896441,.6739594067333916,.6218749310652091,.9289787310640769,0,.4187311571825438,.5605034677466677,0,2
1998,.4915298549808594,.8972280027784293,.6780011219268397,.7385090116653049,1,0,.7536818040293334,.7291033818314507,0,2
1998,.4095236382446963,.8436120195269292,.7441657303527348,.6565228639047153,.7987669332984193,0,.2706010783378349,.6337435797700838,0,2
1998,.4214849881427062,.7818334382867109,.7148603715890779,.626018068134488,.5452432688995373,0,0,.6989770466899657,0,2
1998,.4649552006097438,.817719201552648,.7159350772865151,.6795632316467551,.9289787310640769,0,.4920551269512912,.4770124898058243,0,2
1998,.5029621395364964,.7974564339412525,0,.5709472252489369,.7987669332984193,0,0,.8281444812727686,0,2
1998,.5192705952454646,.8079383801485162,.6143569060391367,.5792233983886881,.7464763271656569,0,0,.6221436568548586,0,2
1998,.5018572264141387,.7727204188666078,.6962984026513195,.6524805913849916,.9289787310640769,0,.4187311571825438,.3799269060153256,0,2
1998,.5316083250833352,.7457907740909879,0,.5187987891183331,.9289787310640769,.6426248731762596,0,.1962417638323891,1,2
1998,.5602518869054923,.8237331768529516,0,.5810851207228755,.7464763271656569,0,0,.738817153019883,0,2
1998,.1554337673252797,.757447067941334,0,.5438265133314084,1,0,0,.7851490585751711,0,2
1998,.2535432354901166,.64568471306639,.5494269701282093,.4769711579088071,.4547567606823537,.5729842070320552,0,.4618880788461632,1,2
1998,.4267875207719733,.8203682909001474,.5507201000359472,.6229451078186462,.7464763271656569,0,0,.491763316093082,0,2
1998,.4125330132869935,.7573312438170183,.7592934838097433,.6212523913774607,.9289787310640769,0,0,.688587604252627,0,2
1998,.8123531856749988,.6360822482635206,0,.5402533405368528,.7987669332984193,.5966019225822752,0,.2639420574873176,1,2
1998,.5491524014377496,.8957964847830814,0,.6779302633756852,.7987669332984193,0,.8009333582551493,.802720214135373,0,2
1998,.8123531856749988,.2087189168986244,.5729203094098064,.5957344312348695,.7464763271656569,.7384949696501479,0,.4304397410629516,1,2
1998,.52839171845737,.8336725823992017,.5913552423414691,.6015334734992964,.7464763271656569,0,.2706010783378349,.4304397410629516,0,2
1998,.6879265780018998,.1267146509315594,.5769598910104987,.5810851207228755,.7464763271656569,.6990895124185739,0,.1464312337865249,1,2
1998,.4712192197691204,.6953741182480817,.6256164735854814,.5903442292151057,.889253438857855,.6914546545284758,0,.2196713480353548,0,2
1998,.4628293551809218,.8978305940825816,.7670228773923432,.7543271485397087,1,0,.2706010783378349,.3972435454453007,0,2
1998,.488745301310964,.8445282473143366,.763501413798485,.6673380774531199,.9657587244761897,0,.620846100452946,.688587604252627,0,2
1998,.4487001793205477,.8370730440709182,.7374985932930576,.6458747607453262,.9657587244761897,0,.5412021746792933,.6337435797700838,0,2
1998,.428117166993948,.8550062989994281,0,.6824544508071367,.9657587244761897,0,.8344833988047107,.7192292384199434,0,2
1998,.2196444094533322,.7004520588401456,.5668816567259855,.592973892110218,.7464763271656569,.6675067714498308,0,.3247449034818433,0,2
1998,.4225221779260401,.908431229272351,.8214979312059024,.8065077827166593,.9657587244761897,0,.5938053060063293,.4618880788461632,0,2
1998,.5965247839007793,.7005615762663312,.4316944970305884,.5568373677542139,.7987669332984193,.7324733242950907,0,.1198766700573665,0,2
1998,.4437827849069992,.8685068091961186,0,.6729290065156049,.7464763271656569,0,.6970001318225316,.8363844231855506,0,2
1998,.4784797807806392,.9093012640170582,.4562025341610651,.7625843750776642,1,0,0,.6103139977925319,0,2
1998,.4310319467078008,.89075048050137,.8170577156305187,.6762391111488157,1,0,.8186381216574697,.7851490585751711,0,2
1998,.4454510784096153,.9637591707525914,0,.7704342636576557,.9289787310640769,0,.620846100452946,.802720214135373,0,2
1998,.4695024969424486,.837642154412086,.6686366338194996,.5938190401043634,.9657587244761897,0,.6540504714302838,.8759604708106887,0,2
1998,.4692545665690709,.81382204338078,.6627703683519691,.61416958286184,.889253438857855,0,0,.6672504075533893,0,2
1998,.4803812587246338,.7011291889145839,.5665684188935547,.5355389538962416,.7987669332984193,0,0,.3051569888819037,1,2
