x1,x2,x3
4.0,4.0,-1.1774630875638041e6
6.0,6.0,-1.1678096459717345e6
8.0,8.0,-1.1666200880844279e6
10.0,10.0,-1.1663390056470023e6
14.0,14.0,-1.1654278913146392e6
18.0,18.0,-1.1647321970609983e6
22.0,22.0,-1.16065932832989e6
