x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
14336.0,196.0,0.013671875,2.36512164283045,172.0,222.0,372.0,724.0,651.0,794.0,555.0,1314.0,733.0,1248.0,1393.0,783.0,1399.0,866.0,716.0,845.0,833.0,716.0
14275.0,188.0,0.013169877408056042,2.3601642166054,97.0,161.0,294.0,689.0,644.0,820.0,536.0,1374.0,838.0,1234.0,1457.0,749.0,1444.0,855.0,712.0,712.0,874.0,785.0
14100.0,188.0,0.013333333333333334,2.35030563628567,150.0,228.0,363.0,686.0,589.0,705.0,473.0,1240.0,776.0,1325.0,1444.0,822.0,1422.0,850.0,785.0,624.0,869.0,749.0
13836.0,217.0,0.01568372361954322,2.34153262448895,155.0,230.0,367.0,688.0,665.0,667.0,515.0,1351.0,826.0,1127.0,1354.0,860.0,1395.0,744.0,820.0,718.0,627.0,727.0
12411.0,161.0,0.012972363226170333,2.33227448426572,125.0,232.0,336.0,624.0,534.0,618.0,503.0,1341.0,521.0,1268.0,1272.0,532.0,1180.0,691.0,698.0,698.0,643.0,595.0
12666.0,181.0,0.014290225801357966,2.31435117860194,117.0,196.0,286.0,637.0,616.0,687.0,536.0,1298.0,570.0,1364.0,1225.0,647.0,1168.0,693.0,639.0,685.0,669.0,633.0
12964.0,192.0,0.014810243751928418,2.30573936300405,117.0,206.0,293.0,610.0,589.0,679.0,627.0,1225.0,549.0,1329.0,1275.0,681.0,1371.0,685.0,700.0,650.0,730.0,648.0
12954.0,185.0,0.014281303072410066,2.29360002567804,145.0,209.0,339.0,701.0,634.0,653.0,590.0,1312.0,560.0,1428.0,1403.0,509.0,1277.0,720.0,558.0,749.0,594.0,573.0
12617.0,187.0,0.014821272885789015,2.2827049473747,134.0,213.0,326.0,676.0,586.0,636.0,723.0,1181.0,622.0,1229.0,1287.0,474.0,1296.0,629.0,766.0,665.0,594.0,580.0
13210.0,204.0,0.015442846328538986,2.26818433849422,112.0,148.0,314.0,640.0,709.0,709.0,698.0,1413.0,534.0,1382.0,1362.0,617.0,1324.0,718.0,595.0,689.0,622.0,624.0
