x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
13059.0,83.0,0.006355769967072517,2.59971844477282,145.0,232.0,315.0,654.0,1848.0,3184.0,3298.0,2063.0,669.0,651.0
13295.0,73.0,0.0054907860097781125,2.58941871544329,162.0,232.0,288.0,726.0,1799.0,3394.0,3320.0,2129.0,630.0,615.0
12961.0,93.0,0.007175372270658128,2.58070102495556,108.0,166.0,221.0,637.0,1888.0,3373.0,3277.0,1982.0,675.0,634.0
13555.0,110.0,0.008115086683880487,2.56791177648274,123.0,239.0,345.0,628.0,1985.0,3277.0,3479.0,2016.0,781.0,682.0
13336.0,84.0,0.00629874025194961,2.5493512933762,137.0,233.0,362.0,663.0,1936.0,3481.0,3287.0,1964.0,629.0,644.0
13425.0,100.0,0.0074487895716946,2.54146627435812,135.0,230.0,372.0,613.0,1927.0,3462.0,3359.0,2111.0,622.0,594.0
13433.0,120.0,0.008933224149482617,2.5198576980082,91.0,128.0,300.0,630.0,2020.0,3725.0,3306.0,1992.0,596.0,645.0
13349.0,87.0,0.006517342123005468,2.51498529920431,124.0,158.0,378.0,601.0,1892.0,3400.0,3642.0,1913.0,667.0,574.0
13227.0,101.0,0.0076358962727753835,2.50671787948929,143.0,221.0,387.0,637.0,2087.0,3363.0,3256.0,1862.0,657.0,614.0
12869.0,115.0,0.008936203279198073,2.50560260107231,117.0,170.0,337.0,583.0,1912.0,3399.0,3181.0,1858.0,670.0,642.0
12781.0,118.0,0.009232454424536421,2.4957581253991,110.0,137.0,275.0,637.0,1968.0,3362.0,3244.0,1838.0,596.0,614.0
15562.0,106.0,0.0068114638221308315,2.49823198424607,154.0,197.0,413.0,657.0,2298.0,3859.0,4052.0,2266.0,892.0,774.0
15264.0,167.0,0.010940775681341719,2.4950301934409,165.0,249.0,414.0,729.0,2185.0,3811.0,3956.0,2172.0,782.0,801.0
15295.0,163.0,0.010657077476299444,2.48498493055888,174.0,255.0,419.0,695.0,2134.0,3821.0,3926.0,2248.0,804.0,819.0
15397.0,128.0,0.008313307787231279,2.47807698351162,124.0,191.0,352.0,648.0,2289.0,3997.0,3965.0,2337.0,720.0,774.0
15536.0,149.0,0.009590628218331617,2.47140819024216,140.0,219.0,383.0,702.0,2187.0,4032.0,3944.0,2448.0,747.0,734.0
15284.0,135.0,0.008832766291546716,2.46786645633388,157.0,245.0,379.0,687.0,2084.0,3999.0,3951.0,2318.0,698.0,766.0
15298.0,160.0,0.01045888351418486,2.45876000736653,145.0,245.0,430.0,653.0,2110.0,3786.0,3915.0,2484.0,742.0,788.0
15397.0,168.0,0.010911216470741053,2.44871371928021,171.0,186.0,361.0,648.0,2230.0,4152.0,3822.0,2283.0,744.0,800.0
14847.0,147.0,0.009900990099009901,2.42935129055729,188.0,229.0,386.0,620.0,2147.0,3723.0,3908.0,2186.0,773.0,687.0
14713.0,136.0,0.009243526133351459,2.41559309387275,170.0,218.0,405.0,697.0,2189.0,3694.0,3819.0,2094.0,712.0,715.0
15050.0,177.0,0.01176079734219269,2.40331976819728,183.0,274.0,401.0,679.0,2266.0,3739.0,3769.0,2331.0,702.0,706.0
15060.0,166.0,0.011022576361221779,2.3897587392893,155.0,202.0,356.0,763.0,2444.0,3858.0,3697.0,2174.0,727.0,684.0
14523.0,159.0,0.01094815120842801,2.37727727291606,170.0,238.0,415.0,649.0,2259.0,3650.0,3657.0,2124.0,661.0,700.0
14823.0,176.0,0.011873439924441747,2.36440053132907,186.0,285.0,405.0,689.0,2330.0,3889.0,3689.0,2034.0,633.0,683.0
14548.0,187.0,0.012854000549903767,2.34700934831375,202.0,278.0,439.0,679.0,2228.0,3701.0,3642.0,2064.0,659.0,656.0
14950.0,200.0,0.013377926421404682,2.3368916512583,130.0,195.0,421.0,748.0,2582.0,3843.0,3866.0,1904.0,607.0,654.0
14746.0,198.0,0.0134273701342737,2.32202519192129,151.0,232.0,407.0,720.0,2522.0,3843.0,3551.0,2004.0,559.0,757.0
15021.0,219.0,0.01457958857599361,2.31150628926708,192.0,265.0,433.0,770.0,2257.0,4070.0,3754.0,1964.0,568.0,748.0
14374.0,209.0,0.014540141922916376,2.29425288684597,167.0,268.0,425.0,699.0,2325.0,3860.0,3575.0,1817.0,666.0,572.0
14771.0,213.0,0.014420147586487035,2.28569986634756,123.0,221.0,371.0,834.0,2442.0,3997.0,3696.0,1790.0,685.0,612.0
14894.0,214.0,0.014368201960521016,2.28053352010361,166.0,256.0,387.0,668.0,2429.0,3979.0,3794.0,2017.0,595.0,603.0
15045.0,239.0,0.015885676304420074,2.2719941302784,197.0,262.0,453.0,787.0,2441.0,3947.0,3691.0,1979.0,638.0,650.0
14352.0,215.0,0.014980490523968784,2.26261478240566,161.0,226.0,402.0,742.0,2306.0,3715.0,3620.0,1981.0,567.0,632.0
15107.0,260.0,0.017210564638909114,2.25190561510873,161.0,180.0,359.0,820.0,2501.0,4093.0,3720.0,1956.0,665.0,652.0
14743.0,266.0,0.018042460828867936,2.24447829577186,179.0,220.0,350.0,724.0,2418.0,3973.0,3679.0,1951.0,624.0,625.0
14797.0,264.0,0.017841454348854497,2.23921960667127,160.0,237.0,400.0,724.0,2357.0,4013.0,3743.0,1921.0,641.0,601.0
