"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.43458162611963,0.471534931124525,0.497686831766138,0.522114225506863,0.543853298353809,0.561007588088715,0.585389636318978,0.61335527025626,0.646226635324969,1
"2",0.476678409389599,0.508701487028315,0.53600849895262,0.556962128984478,0.580666674433893,0.598792228931577,0.620510014708981,0.650617156290823,0.684169341093602,0.938047563450935
"3",0.477558039576397,0.509262170134033,0.536775533259834,0.556220853103075,0.579972122564008,0.598623970358854,0.618749517715821,0.648226929930883,0.681233850945144,0.880248036553123
"4",0.46940161649552,0.504434863030706,0.532377343218882,0.552026189887637,0.575409700075536,0.594878443299006,0.614632977910636,0.642756869061235,0.675412782276524,0.851714230152455
"5",0.438303137913454,0.477246813172505,0.504498627447023,0.524560951426394,0.546329596954004,0.565933195078013,0.585177393650395,0.610404669366737,0.641588755997239,0.807488607709408
"6",0.413336679159998,0.455829773766374,0.48210868293016,0.502704283319057,0.522441338628916,0.541817026811483,0.560573810490718,0.582777606776049,0.612581192473689,0.778376093004722
"7",0.380552108755667,0.426589914598073,0.452952881121564,0.474707128462712,0.493086239588731,0.512598817786057,0.531449631711037,0.552191234606639,0.582612082258984,0.761614460517768
"8",0.381345600021845,0.427390296719559,0.45351595969602,0.475763850228711,0.492674842537851,0.511600529905334,0.52994345081838,0.550220585953035,0.582157782891042,0.775413691052883
"9",0.394187788084907,0.438910816067265,0.465154086816596,0.48764447732929,0.503658446884837,0.521987367737994,0.539926382440381,0.56101429148371,0.595288302909756,0.804571884683077
"10",0.407181288667047,0.450981453181067,0.477662191614902,0.500057625368519,0.516022997133682,0.534100971723261,0.552192695683105,0.574673015800479,0.610490754549971,0.831757963695701
"11",0.438993434530908,0.481707312376773,0.507559487118438,0.528362938195045,0.544503282960908,0.562028691736448,0.580225471724126,0.602586290118266,0.635770235407148,0.847988362829604
"12",0.462777906813756,0.505115215948093,0.530000760636652,0.549381648829034,0.566217932527527,0.583580016986876,0.601992142480216,0.623539235533529,0.652753417440106,0.853037784352413
"13",0.468010787545233,0.510363991352892,0.534686410082673,0.554038455143191,0.572020590007371,0.589811069280381,0.608322412514261,0.629153744291146,0.655718783681366,0.857853921665777
"14",0.452214454323955,0.494809164986587,0.519099431452849,0.540229654974829,0.559764117592836,0.5785868490056,0.596991043773031,0.617637835279609,0.644184713243393,0.869320363443985
"15",0.427977670224159,0.470899047525132,0.495684579026918,0.51917098585146,0.54012816045101,0.560083530851146,0.578320530570083,0.599130498998361,0.627220335051938,0.882522985252574
"16",0.409395030111952,0.452713752226505,0.478303050997935,0.503400011494305,0.525043055657741,0.545668827158191,0.563821754780526,0.584920267711757,0.61483212990391,0.890517794538517
"17",0.409898846228307,0.453417642091481,0.479865486503517,0.504737969503526,0.525757851618993,0.546062145628665,0.564222021277188,0.585471550895231,0.616472674268168,0.888637396407146
"18",0.407661495669956,0.450735670758778,0.477791447551076,0.500947723360105,0.520246810237194,0.539331482824547,0.557426505120534,0.578504941422351,0.609652837647278,0.857356009523658
"19",0.403091055839831,0.442243629920528,0.467855218005017,0.487554422928611,0.503609279128264,0.519973315611779,0.536743769003649,0.556072729156128,0.584818246856395,0.784642515350956
"20",0.415915696290305,0.453200095847239,0.47882241970398,0.497219031334505,0.511647912902598,0.526698310591508,0.543274715648997,0.561993302794295,0.590189632803208,0.760560166097767
"21",0.442734806817292,0.482052914100396,0.510676299548844,0.531761219789012,0.547254735533893,0.563546703221101,0.581895511667912,0.602438364897497,0.633663471639129,0.805573612759491
"22",0.486025541962387,0.522140890964585,0.550320477362113,0.574509325329888,0.590629931174836,0.607442012345855,0.625455630020977,0.645631861315205,0.676573677040922,0.849451715668346
