"","","subdata"
"1",1,0
"2",1,0.0101665554897179
"3",1,0.0101665554897179
"4",1,0.0101665554897179
"5",1,0.0101665554897179
"6",1,0.0101665554897179
"7",1,0.0235947049341871
"8",1,0.0435593302333411
"9",1,0.0435593302333411
"10",1,0.0435593302333411
"11",1,0.0435593302333411
"12",1,0.0572730140551181
"13",1,0.0572730140551181
"14",1,0.0572730140551181
"15",1,0.0572730140551181
"16",1,0.0642168273229785
"17",1,0.0642168273229785
"18",1,0.0642168273229785
"19",1,0.0642168273229785
"20",1,0.0642168273229785
"21",1,0.0642168273229785
"22",1,0.0712180748620441
"23",1,0.0712180748620441
"24",1,0.0712180748620441
"25",1,0.0712180748620441
"26",1,0.0712180748620441
"27",1,0.0730192971043647
"28",1,0.0730192971043647
"29",1,0.0730192971043647
"30",1,0.0730192971043647
"31",1,0.0758684838969458
"32",1,0.0758684838969458
"33",1,0.0758684838969458
"34",1,0.0758684838969458
"35",1,0.0758684838969458
"36",1,0.0784174339452075
"37",1,0.0784174339452075
"38",1,0.0784174339452075
"39",1,0.0784174339452075
"40",1,0.0784174339452075
"41",1,0.0784174339452075
"42",1,0.0809523828656708
"43",1,0.0809523828656708
"44",1,0.0809523828656708
"45",1,0.083218010317922
"46",1,0.083218010317922
"47",1,0.083218010317922
"48",1,0.083218010317922
"49",1,0.0878616145472282
"50",1,0.0878616145472282
"51",1,0.0878616145472282
"52",1,0.0878616145472282
"53",1,0.0930754117816854
"54",1,0.0930754117816854
"55",1,0.0930754117816854
"56",1,0.0930754117816854
"57",1,0.0964126330944488
"58",1,0.0964126330944488
"59",1,0.0964126330944488
"60",1,0.0964126330944488
"61",1,0.0991601831295113
"62",1,0.0991601831295113
"63",1,0.0991601831295113
"64",1,0.102060179574095
"65",1,0.102060179574095
"66",1,0.102060179574095
"67",1,0.102060179574095
"68",1,0.112848994181351
"69",1,0.112848994181351
"70",1,0.112848994181351
"71",1,0.112848994181351
"72",1,0.112848994181351
"73",1,0.112848994181351
"74",1,0.112848994181351
"75",1,0.112848994181351
"76",1,0.112848994181351
"77",1,0.112848994181351
"78",1,0.112848994181351
"79",1,0.123842180096065
"80",1,0.123842180096065
"81",1,0.123842180096065
"82",1,0.123842180096065
"83",1,0.123842180096065
"84",1,0.126779719539279
"85",1,0.126779719539279
"86",1,0.126779719539279
"87",1,0.126779719539279
"88",1,0.133479280550916
"89",1,0.133479280550916
"90",1,0.133479280550916
"91",1,0.146897402720414
"92",1,0.146897402720414
"93",1,0.146897402720414
"94",1,0.146897402720414
"95",1,0.155544781956469
"96",1,0.155544781956469
"97",1,0.155544781956469
"98",1,0.186289296669665
"99",1,0.215273417507973
"100",1,0.215273417507973
"101",1,0.215273417507973
"102",1,0.233587163936542
"103",1,0.233587163936542
"104",1,0.233587163936542
"105",1,0.233587163936542
"106",1,0.233587163936542
"107",1,0.235615850984973
"108",1,0.235615850984973
"109",1,0.235615850984973
"110",1,0.235615850984973
"111",1,0.235615850984973
"112",1,0.242189184853403
"113",1,0.244248440594484
"114",1,0.244248440594484
"115",1,0.244248440594484
"116",1,0.248428766901124
"117",1,0.248428766901124
"118",1,0.248428766901124
"119",1,0.248428766901124
"120",1,0.248428766901124
"121",1,0.248428766901124
"122",1,0.255964016875554
"123",1,0.255964016875554
"124",1,0.255964016875554
"125",1,0.255964016875554
"126",1,0.269643686047579
"127",1,0.269643686047579
"128",1,0.269643686047579
"129",1,0.269643686047579
"130",1,0.269643686047579
"131",1,0.283226491801527
"132",1,0.283226491801527
"133",1,0.283226491801527
"134",1,0.283226491801527
"135",1,0.290383232302898
"136",1,0.290383232302898
"137",1,0.290383232302898
"138",1,0.290383232302898
"139",1,0.290383232302898
"140",1,0.292182620339911
"141",1,0.292182620339911
"142",1,0.292182620339911
"143",1,0.292182620339911
"144",1,0.292455906225049
"145",1,0.292455906225049
"146",1,0.292455906225049
"147",1,0.292455906225049
"148",1,0.29322190372039
"149",1,0.29322190372039
"150",1,0.294679880306032
"151",1,0.294679880306032
"152",1,0.294679880306032
"153",1,0.297657282911829
"154",1,0.30460424057833
"155",1,0.309003434606723
"156",1,0.313156952429809
"157",1,0.313156952429809
"158",1,0.313156952429809
"159",1,0.313156952429809
"160",1,0.314238681009665
"161",1,0.314238681009665
"162",1,0.31533302904824
"163",1,0.31533302904824
"164",1,0.31533302904824
"165",1,0.31533302904824
"166",1,0.316888039788129
"167",1,0.316888039788129
"168",1,0.316888039788129
"169",1,0.318268418500334
"170",1,0.318268418500334
"171",1,0.318268418500334
"172",1,0.318268418500334
"173",1,0.318268418500334
"174",1,0.322174189192139
"175",1,0.322174189192139
"176",1,0.322174189192139
"177",1,0.323165211825467
"178",1,0.323165211825467
"179",1,0.323165211825467
"180",1,0.323165211825467
"181",1,0.325778808407696
"182",1,0.328192787922933
"183",1,0.328192787922933
"184",1,0.328192787922933
"185",1,0.328192787922933
"186",1,0.332891823368762
"187",1,0.332891823368762
"188",1,0.332891823368762
"189",1,0.332891823368762
"190",1,0.334250489634426
"191",1,0.334250489634426
"192",1,0.334250489634426
"193",1,0.334250489634426
"194",1,0.334250489634426
"195",1,0.334250489634426
"196",1,0.335988109641612
"197",1,0.335988109641612
"198",1,0.335988109641612
"199",1,0.337565957241319
"200",1,0.337565957241319
"201",1,0.341162100355655
"202",1,0.344857557162827
"203",1,0.344857557162827
"204",1,0.344857557162827
"205",1,0.346286207938711
"206",1,0.347268250862895
"207",1,0.355442776482188
"208",1,0.355442776482188
"209",1,0.355442776482188
"210",1,0.355442776482188
