x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
13836.0,217.0,0.01568372361954322,2.34153262448895,155.0,230.0,367.0,688.0,665.0,667.0,515.0,739.0,612.0,826.0,673.0,454.0,757.0,597.0,860.0,768.0,627.0,744.0,820.0,718.0,627.0,727.0
12411.0,161.0,0.012972363226170333,2.33227448426572,125.0,232.0,336.0,624.0,534.0,618.0,503.0,630.0,711.0,521.0,539.0,729.0,458.0,814.0,532.0,615.0,565.0,691.0,698.0,698.0,643.0,595.0
12666.0,181.0,0.014290225801357966,2.31435117860194,117.0,196.0,286.0,637.0,616.0,687.0,536.0,546.0,752.0,570.0,638.0,726.0,525.0,700.0,647.0,547.0,621.0,693.0,639.0,685.0,669.0,633.0
12964.0,192.0,0.014810243751928418,2.30573936300405,117.0,206.0,293.0,610.0,589.0,679.0,627.0,553.0,672.0,549.0,585.0,744.0,652.0,623.0,681.0,595.0,776.0,685.0,700.0,650.0,730.0,648.0
12954.0,185.0,0.014281303072410066,2.29360002567804,145.0,209.0,339.0,701.0,634.0,653.0,590.0,776.0,536.0,560.0,651.0,777.0,559.0,844.0,509.0,769.0,508.0,720.0,558.0,749.0,594.0,573.0
12617.0,187.0,0.014821272885789015,2.2827049473747,134.0,213.0,326.0,676.0,586.0,636.0,723.0,590.0,591.0,622.0,570.0,659.0,621.0,666.0,474.0,683.0,613.0,629.0,766.0,665.0,594.0,580.0
13210.0,204.0,0.015442846328538986,2.26818433849422,112.0,148.0,314.0,640.0,709.0,709.0,698.0,613.0,800.0,534.0,651.0,731.0,623.0,739.0,617.0,752.0,572.0,718.0,595.0,689.0,622.0,624.0
13008.0,227.0,0.01745079950799508,2.25556364036864,98.0,194.0,298.0,605.0,549.0,664.0,625.0,670.0,702.0,536.0,623.0,760.0,607.0,847.0,517.0,785.0,645.0,660.0,614.0,691.0,662.0,656.0
12855.0,229.0,0.017814080124465188,2.24780565531006,117.0,248.0,293.0,665.0,595.0,621.0,692.0,571.0,733.0,636.0,470.0,672.0,589.0,792.0,674.0,561.0,724.0,661.0,585.0,756.0,608.0,592.0
13004.0,79.0,0.0060750538295908955,2.63829173800851,167.0,214.0,321.0,649.0,616.0,602.0,712.0,583.0,766.0,627.0,739.0,484.0,716.0,606.0,679.0,624.0,616.0,662.0,705.0,707.0,619.0,590.0
13209.0,95.0,0.007192066015595427,2.62939974895936,130.0,157.0,283.0,628.0,634.0,693.0,643.0,632.0,757.0,680.0,846.0,516.0,684.0,625.0,694.0,688.0,674.0,741.0,585.0,694.0,595.0,630.0
13301.0,90.0,0.006766408540711225,2.61592543595341,109.0,189.0,284.0,655.0,578.0,706.0,600.0,798.0,593.0,619.0,786.0,602.0,647.0,687.0,609.0,754.0,707.0,753.0,587.0,658.0,721.0,659.0
13059.0,83.0,0.006355769967072517,2.59971844477282,145.0,232.0,315.0,654.0,609.0,603.0,636.0,704.0,590.0,582.0,758.0,550.0,833.0,516.0,757.0,504.0,688.0,705.0,653.0,705.0,669.0,651.0
13295.0,73.0,0.0054907860097781125,2.58941871544329,162.0,232.0,288.0,726.0,617.0,626.0,556.0,724.0,615.0,611.0,791.0,653.0,744.0,505.0,809.0,689.0,573.0,787.0,615.0,727.0,630.0,615.0
12961.0,93.0,0.007175372270658128,2.58070102495556,108.0,166.0,221.0,637.0,627.0,705.0,556.0,721.0,747.0,604.0,723.0,578.0,711.0,546.0,829.0,580.0,611.0,685.0,660.0,637.0,675.0,634.0
13555.0,110.0,0.008115086683880487,2.56791177648274,123.0,239.0,345.0,628.0,619.0,618.0,748.0,542.0,717.0,620.0,802.0,596.0,804.0,554.0,806.0,637.0,678.0,721.0,708.0,587.0,781.0,682.0
13336.0,84.0,0.00629874025194961,2.5493512933762,137.0,233.0,362.0,663.0,696.0,637.0,603.0,777.0,670.0,429.0,739.0,866.0,599.0,687.0,607.0,709.0,685.0,649.0,617.0,698.0,629.0,644.0
13425.0,100.0,0.0074487895716946,2.54146627435812,135.0,230.0,372.0,613.0,634.0,653.0,640.0,717.0,643.0,754.0,612.0,736.0,595.0,711.0,682.0,680.0,691.0,714.0,804.0,593.0,622.0,594.0
13433.0,120.0,0.008933224149482617,2.5198576980082,91.0,128.0,300.0,630.0,632.0,694.0,694.0,889.0,686.0,800.0,654.0,696.0,690.0,607.0,736.0,683.0,590.0,629.0,739.0,624.0,596.0,645.0
13349.0,87.0,0.006517342123005468,2.51498529920431,124.0,158.0,378.0,601.0,626.0,641.0,625.0,677.0,687.0,779.0,626.0,631.0,730.0,905.0,506.0,731.0,770.0,632.0,668.0,613.0,667.0,574.0
13227.0,101.0,0.0076358962727753835,2.50671787948929,143.0,221.0,387.0,637.0,623.0,699.0,765.0,505.0,672.0,772.0,542.0,872.0,522.0,770.0,505.0,711.0,748.0,550.0,702.0,610.0,657.0,614.0
12869.0,115.0,0.008936203279198073,2.50560260107231,117.0,170.0,337.0,583.0,605.0,594.0,713.0,516.0,631.0,823.0,586.0,843.0,537.0,748.0,504.0,683.0,709.0,571.0,625.0,662.0,670.0,642.0
12781.0,118.0,0.009232454424536421,2.4957581253991,110.0,137.0,275.0,637.0,587.0,670.0,711.0,639.0,623.0,729.0,638.0,733.0,544.0,722.0,532.0,750.0,696.0,550.0,683.0,605.0,596.0,614.0
15562.0,106.0,0.0068114638221308315,2.49823198424607,154.0,197.0,413.0,657.0,738.0,686.0,874.0,679.0,743.0,868.0,758.0,811.0,711.0,941.0,615.0,880.0,905.0,701.0,803.0,762.0,892.0,774.0
15264.0,167.0,0.010940775681341719,2.4950301934409,165.0,249.0,414.0,729.0,689.0,645.0,851.0,662.0,737.0,862.0,734.0,816.0,619.0,951.0,809.0,705.0,872.0,642.0,800.0,730.0,782.0,801.0
15295.0,163.0,0.010657077476299444,2.48498493055888,174.0,255.0,419.0,695.0,690.0,652.0,792.0,639.0,815.0,866.0,685.0,816.0,652.0,859.0,818.0,767.0,830.0,703.0,896.0,649.0,804.0,819.0
15397.0,128.0,0.008313307787231279,2.47807698351162,124.0,191.0,352.0,648.0,795.0,667.0,827.0,673.0,847.0,898.0,710.0,869.0,696.0,930.0,736.0,784.0,819.0,715.0,887.0,735.0,720.0,774.0
15536.0,149.0,0.009590628218331617,2.47140819024216,140.0,219.0,383.0,702.0,717.0,688.0,782.0,811.0,670.0,952.0,680.0,919.0,633.0,919.0,702.0,858.0,832.0,794.0,874.0,780.0,747.0,734.0
15284.0,135.0,0.008832766291546716,2.46786645633388,157.0,245.0,379.0,687.0,673.0,604.0,807.0,816.0,661.0,851.0,681.0,990.0,617.0,941.0,778.0,762.0,853.0,758.0,855.0,705.0,698.0,766.0
15298.0,160.0,0.01045888351418486,2.45876000736653,145.0,245.0,430.0,653.0,735.0,588.0,787.0,735.0,669.0,804.0,895.0,683.0,867.0,698.0,808.0,873.0,669.0,717.0,949.0,818.0,742.0,788.0
15397.0,168.0,0.010911216470741053,2.44871371928021,171.0,186.0,361.0,648.0,757.0,682.0,791.0,796.0,1145.0,580.0,889.0,742.0,809.0,858.0,770.0,740.0,645.0,922.0,609.0,752.0,744.0,800.0
14847.0,147.0,0.009900990099009901,2.42935129055729,188.0,229.0,386.0,620.0,719.0,654.0,774.0,676.0,834.0,707.0,744.0,762.0,801.0,826.0,749.0,782.0,750.0,772.0,693.0,721.0,773.0,687.0
14713.0,136.0,0.009243526133351459,2.41559309387275,170.0,218.0,405.0,697.0,738.0,638.0,813.0,693.0,870.0,661.0,882.0,588.0,975.0,610.0,741.0,859.0,634.0,693.0,755.0,646.0,712.0,715.0
15050.0,177.0,0.01176079734219269,2.40331976819728,183.0,274.0,401.0,679.0,764.0,712.0,790.0,751.0,848.0,745.0,768.0,627.0,845.0,606.0,844.0,870.0,604.0,876.0,592.0,863.0,702.0,706.0
15060.0,166.0,0.011022576361221779,2.3897587392893,155.0,202.0,356.0,763.0,841.0,748.0,855.0,805.0,899.0,578.0,863.0,713.0,843.0,753.0,589.0,861.0,651.0,869.0,704.0,601.0,727.0,684.0
14523.0,159.0,0.01094815120842801,2.37727727291606,170.0,238.0,415.0,649.0,808.0,647.0,804.0,768.0,745.0,649.0,945.0,543.0,961.0,592.0,652.0,719.0,733.0,807.0,673.0,644.0,661.0,700.0
14823.0,176.0,0.011873439924441747,2.36440053132907,186.0,285.0,405.0,689.0,848.0,789.0,693.0,767.0,818.0,865.0,688.0,751.0,692.0,784.0,673.0,846.0,694.0,782.0,593.0,659.0,633.0,683.0
14548.0,187.0,0.012854000549903767,2.34700934831375,202.0,278.0,439.0,679.0,754.0,745.0,729.0,575.0,912.0,764.0,729.0,721.0,784.0,781.0,722.0,635.0,720.0,830.0,629.0,605.0,659.0,656.0
14950.0,200.0,0.013377926421404682,2.3368916512583,130.0,195.0,421.0,748.0,884.0,881.0,817.0,1074.0,578.0,811.0,674.0,706.0,873.0,690.0,786.0,815.0,702.0,638.0,609.0,657.0,607.0,654.0
14746.0,198.0,0.0134273701342737,2.32202519192129,151.0,232.0,407.0,720.0,804.0,788.0,930.0,845.0,624.0,848.0,565.0,961.0,621.0,784.0,777.0,696.0,673.0,693.0,757.0,554.0,559.0,757.0
15021.0,219.0,0.01457958857599361,2.31150628926708,192.0,265.0,433.0,770.0,696.0,672.0,889.0,925.0,702.0,974.0,606.0,863.0,765.0,719.0,951.0,609.0,710.0,680.0,693.0,591.0,568.0,748.0
14374.0,209.0,0.014540141922916376,2.29425288684597,167.0,268.0,425.0,699.0,793.0,857.0,675.0,803.0,688.0,808.0,679.0,882.0,657.0,726.0,739.0,654.0,799.0,517.0,674.0,626.0,666.0,572.0
14771.0,213.0,0.014420147586487035,2.28569986634756,123.0,221.0,371.0,834.0,833.0,883.0,726.0,963.0,644.0,982.0,565.0,843.0,734.0,688.0,768.0,641.0,865.0,506.0,680.0,604.0,685.0,612.0
