x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
14496.0,108.0,0.0074503311258278145,2.41995289546414,105.0,235.0,356.0,668.0,651.0,1213.0,1244.0,2176.0,2193.0,1474.0,1796.0,798.0,886.0,701.0
14284.0,144.0,0.01008120974516942,2.40823473325151,180.0,272.0,365.0,739.0,680.0,1200.0,1185.0,2125.0,2072.0,1387.0,1628.0,907.0,767.0,777.0
14395.0,188.0,0.013060090309135117,2.39286551344946,95.0,177.0,283.0,692.0,680.0,1420.0,1412.0,2013.0,2103.0,1645.0,1555.0,747.0,836.0,737.0
14121.0,163.0,0.011543091849019192,2.3849466478347,114.0,262.0,321.0,731.0,613.0,1194.0,1371.0,2005.0,2406.0,1360.0,1512.0,685.0,828.0,719.0
14166.0,192.0,0.013553578991952562,2.37147097051876,154.0,231.0,385.0,690.0,606.0,1329.0,1332.0,1934.0,2271.0,1363.0,1489.0,800.0,813.0,769.0
14336.0,196.0,0.013671875,2.36512164283045,172.0,222.0,372.0,724.0,651.0,1349.0,1314.0,1981.0,2176.0,1399.0,1582.0,845.0,833.0,716.0
14275.0,188.0,0.013169877408056042,2.3601642166054,97.0,161.0,294.0,689.0,644.0,1356.0,1374.0,2072.0,2206.0,1444.0,1567.0,712.0,874.0,785.0
14100.0,188.0,0.013333333333333334,2.35030563628567,150.0,228.0,363.0,686.0,589.0,1178.0,1240.0,2101.0,2266.0,1422.0,1635.0,624.0,869.0,749.0
13836.0,217.0,0.01568372361954322,2.34153262448895,155.0,230.0,367.0,688.0,665.0,1182.0,1351.0,1953.0,2214.0,1395.0,1564.0,718.0,627.0,727.0
12411.0,161.0,0.012972363226170333,2.33227448426572,125.0,232.0,336.0,624.0,534.0,1121.0,1341.0,1789.0,1804.0,1180.0,1389.0,698.0,643.0,595.0
12666.0,181.0,0.014290225801357966,2.31435117860194,117.0,196.0,286.0,637.0,616.0,1223.0,1298.0,1934.0,1872.0,1168.0,1332.0,685.0,669.0,633.0
12964.0,192.0,0.014810243751928418,2.30573936300405,117.0,206.0,293.0,610.0,589.0,1306.0,1225.0,1878.0,1956.0,1371.0,1385.0,650.0,730.0,648.0
12954.0,185.0,0.014281303072410066,2.29360002567804,145.0,209.0,339.0,701.0,634.0,1243.0,1312.0,1988.0,1912.0,1277.0,1278.0,749.0,594.0,573.0
12617.0,187.0,0.014821272885789015,2.2827049473747,134.0,213.0,326.0,676.0,586.0,1359.0,1181.0,1851.0,1761.0,1296.0,1395.0,665.0,594.0,580.0
13210.0,204.0,0.015442846328538986,2.26818433849422,112.0,148.0,314.0,640.0,709.0,1407.0,1413.0,1916.0,1979.0,1324.0,1313.0,689.0,622.0,624.0
13008.0,227.0,0.01745079950799508,2.25556364036864,98.0,194.0,298.0,605.0,549.0,1289.0,1372.0,1919.0,1971.0,1430.0,1274.0,691.0,662.0,656.0
12855.0,229.0,0.017814080124465188,2.24780565531006,117.0,248.0,293.0,665.0,595.0,1313.0,1304.0,1778.0,2055.0,1285.0,1246.0,756.0,608.0,592.0
13004.0,79.0,0.0060750538295908955,2.63829173800851,167.0,214.0,321.0,649.0,616.0,1314.0,1349.0,1850.0,2001.0,1240.0,1367.0,707.0,619.0,590.0
13209.0,95.0,0.007192066015595427,2.62939974895936,130.0,157.0,283.0,628.0,634.0,1336.0,1389.0,2042.0,2003.0,1362.0,1326.0,694.0,595.0,630.0
13301.0,90.0,0.006766408540711225,2.61592543595341,109.0,189.0,284.0,655.0,578.0,1306.0,1391.0,2007.0,1943.0,1461.0,1340.0,658.0,721.0,659.0
13059.0,83.0,0.006355769967072517,2.59971844477282,145.0,232.0,315.0,654.0,609.0,1239.0,1294.0,1890.0,2106.0,1192.0,1358.0,705.0,669.0,651.0
13295.0,73.0,0.0054907860097781125,2.58941871544329,162.0,232.0,288.0,726.0,617.0,1182.0,1339.0,2055.0,2058.0,1262.0,1402.0,727.0,630.0,615.0
12961.0,93.0,0.007175372270658128,2.58070102495556,108.0,166.0,221.0,637.0,627.0,1261.0,1468.0,1905.0,2086.0,1191.0,1345.0,637.0,675.0,634.0
13555.0,110.0,0.008115086683880487,2.56791177648274,123.0,239.0,345.0,628.0,619.0,1366.0,1259.0,2018.0,2164.0,1315.0,1429.0,587.0,781.0,682.0
13336.0,84.0,0.00629874025194961,2.5493512933762,137.0,233.0,362.0,663.0,696.0,1240.0,1447.0,2034.0,1893.0,1394.0,1266.0,698.0,629.0,644.0
13425.0,100.0,0.0074487895716946,2.54146627435812,135.0,230.0,372.0,613.0,634.0,1293.0,1360.0,2102.0,1988.0,1371.0,1518.0,593.0,622.0,594.0
13433.0,120.0,0.008933224149482617,2.5198576980082,91.0,128.0,300.0,630.0,632.0,1388.0,1575.0,2150.0,2033.0,1273.0,1368.0,624.0,596.0,645.0
13349.0,87.0,0.006517342123005468,2.51498529920431,124.0,158.0,378.0,601.0,626.0,1266.0,1364.0,2036.0,2141.0,1501.0,1300.0,613.0,667.0,574.0
13227.0,101.0,0.0076358962727753835,2.50671787948929,143.0,221.0,387.0,637.0,623.0,1464.0,1177.0,2186.0,1797.0,1459.0,1252.0,610.0,657.0,614.0
12869.0,115.0,0.008936203279198073,2.50560260107231,117.0,170.0,337.0,583.0,605.0,1307.0,1147.0,2252.0,1789.0,1392.0,1196.0,662.0,670.0,642.0
12781.0,118.0,0.009232454424536421,2.4957581253991,110.0,137.0,275.0,637.0,587.0,1381.0,1262.0,2100.0,1798.0,1446.0,1233.0,605.0,596.0,614.0
15562.0,106.0,0.0068114638221308315,2.49823198424607,154.0,197.0,413.0,657.0,738.0,1560.0,1422.0,2437.0,2267.0,1785.0,1504.0,762.0,892.0,774.0
