x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
7.567437651075212e-7,8.829822329442553e-6,6.285058170726363e-5,0.0004621316187932949,0.005939104688546475,0.038163180155722384,0.15794679773462827,0.4134321791029818,0.6587438997106271,0.23974325147906744
1.6701022616573837e-10,1.2815258141795598e-9,5.392221126560355e-9,2.1761093504310713e-8,1.2809195992145728e-7,4.7357708958320554e-7,1.2948296193672301e-6,2.6006832058883668e-6,3.6806123276225416e-6,6.75401069356524e-7
1.2815258141795598e-9,1.2148975969987443e-8,5.824274774191479e-8,2.576737357681212e-7,1.6338930345459232e-6,6.2463236339779125e-6,1.7374433628020674e-5,3.51986056760406e-5,4.998688168825975e-5,9.344331794665441e-6
5.392221126560355e-9,5.824274774191479e-8,3.130448725523157e-7,1.5290148082259647e-6,1.057337305414558e-5,4.2065882187053366e-5,0.00011943713010232102,0.0002444693428052063,0.00034861333900032955,6.662065328188046e-5
2.1761093504310713e-8,2.576737357681212e-7,1.5290148082259647e-6,8.393704066669352e-6,6.579213840624528e-5,0.00027829128120852333,0.0008157411732358083,0.001696591643971927,0.0024348461205303657,0.00048138044681783474
1.2809195992145728e-7,1.6338930345459232e-6,1.057337305414558e-5,6.579213840624528e-5,0.0006220787641168028,0.002947310542704044,0.009194354610948528,0.019737188769227736,0.02868703111882633,0.006064230232848126
4.7357708958320554e-7,6.2463236339779125e-6,4.2065882187053366e-5,0.00027829128120852333,0.002947310542704044,0.015438181988663415,0.05159111938070843,0.11500979952727758,0.16976991484803775,0.038980950154217445
1.2948296193672301e-6,1.7374433628020674e-5,0.00011943713010232102,0.0008157411732358083,0.009194354610948528,0.05159111938070843,0.18361798480562702,0.42610656088725724,0.6399500944062696,0.16149971994783655
2.6006832058883668e-6,3.51986056760406e-5,0.0002444693428052063,0.001696591643971927,0.019737188769227736,0.11500979952727758,0.42610656088725724,1.0185340787413026,1.55063228381124,0.4228277637853851
3.6806123276225416e-6,4.998688168825975e-5,0.00034861333900032955,0.0024348461205303657,0.02868703111882633,0.16976991484803775,0.6399500944062696,1.55063228381124,2.376264844874485,0.6738390617331553
6.75401069356524e-7,9.344331794665441e-6,6.662065328188046e-5,0.00048138044681783474,0.006064230232848126,0.038980950154217445,0.16149971994783655,0.4228277637853851,0.6738390617331553,0.24462724897040428
3.259733086572081e-10,2.3324158584672433e-9,9.50573225237667e-9,3.7591856487000684e-8,2.1779751591783698e-7,7.99418784562585e-7,2.1780587818916032e-6,4.367716830622123e-6,6.177370167061671e-6,1.1276368543777027e-6
2.3324158584672433e-9,1.9481317757873835e-8,8.756601268668037e-8,3.7187232605532287e-7,2.285995363014104e-6,8.621185787727395e-6,2.3821301215417224e-5,4.810876405004632e-5,6.823489175766265e-5,1.2647703345078596e-5
9.50573225237667e-9,8.756601268668037e-8,4.2972318614681863e-7,1.97667485680618e-6,1.3076457129763084e-5,5.106348577568975e-5,0.0001436913245562266,0.00029288079181462236,0.0004169457431905971,7.883468290391718e-5
3.7591856487000684e-8,3.7187232605532287e-7,1.97667485680618e-6,1.0060122283392136e-5,7.47280320300774e-5,0.0003095682369627814,0.0008988495644789751,0.001861390406054994,0.00266680108451905,0.0005216765918674809
2.1779751591783698e-7,2.285995363014104e-6,1.3076457129763084e-5,7.47280320300774e-5,0.0006679006789796223,0.003105381897110092,0.009615204219852331,0.020577067800769108,0.02987224455522646,0.006266090749138599
