"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"30175",2016,0.497718364685833,0.778446409913571,0.650051874265163,0.631031986566385,0.850274152617282,0,0.492055131523715,0.302207191607431,0,2,3
"30176",2016,0.385509940949057,0.729017585661731,0.683308706150091,0.582843774946522,0.81136774736305,0,0,0.359230984170475,0,1,3
"30177",2016,0.433179404292759,0.776799756493137,0.674146473545781,0.629630594089553,0.974523052835148,0,0,0.489676053795542,0,1,3
"30179",2016,0.443314031572094,0.798187022433379,0.641528360461509,0.601558882809608,0.974523052835148,0,0,0.281965479766254,0,1,3
"30182",2016,0.408036076028216,0.694916422959862,0.660388981348508,0.582843774946522,0.917599918025325,0,0,0.584836003353942,0,1,3
"30183",2016,0.407429168286129,0.767184564301116,0.680941044412744,0.602477180965877,0.81136774736305,0,0,0.739977037312537,0,1,3
"30186",2016,0.437971265560865,0.823865815878172,0,0.630624107191802,0.947157198434707,0.777330356805881,0.654050474544456,0.545834573939802,0,3,2
"30187",2016,0.439972774800633,0.794948637481516,0.563098286706225,0.621725853265123,0.81136774736305,0,0,0.796135713835763,0,1,3
"30188",2016,0.440649631841898,0.857867082539083,0.68308963191008,0.754092931939134,0.947157198434707,0,0.938865024035872,0.545834573939802,0,2,3
"30190",2016,0.444130160356125,0.867831027785668,0.650471510529171,0.693396017258522,1,0,0.418731162415017,0.759270007161789,0,2,3
"30191",2016,0.497139259375425,0.788421776456069,0,0.577963032768761,0.81136774736305,0.725997231760535,0.492055131523715,0.98700339927399,0,3,2
"30192",2016,0.420840783739996,0.903730076748629,0,0.792301579721975,1,0,0,0.730099773828181,0,2,3
"30193",2016,0.494614415627185,0.720945922927248,0,0.579582289722601,0.81136774736305,0.779675630780693,0,0.667267367337651,0,3,2
"30194",2016,0.525551291261469,0.852461075526354,0,0.65842871646859,1,0,0.80093336004711,0.932094291880716,0,2,3
"30196",2016,0.415946828691668,0.774810272196569,0.646989883596641,0.643020533392845,0.947157198434707,0,0.492055131523715,0.584836003353942,0,2,3
"30198",2016,0.46572114475251,0.687086829966217,0.498359707674222,0.564678612000774,0.81136774736305,0.692626976979309,0,0.239374913899581,0,4,1
"30199",2016,0.297589067641954,0.703074425793671,0.642124244835367,0.551408546187806,0.661641891726518,0,0,0.730099773828181,0,1,3
"30200",2016,0.370317137661255,0.9353853027531,0.588289552118863,0.836444097998277,0.974523052835148,0,0,0.84760875218857,0,2,3
"30201",2016,0.482791381395671,0.767083879003109,0.656450393360776,0.617809954538802,0.947157198434707,0,0,0.50420185684017,0,1,3
"30202",2016,0.413085426821338,0.752852726106234,0.664555501537458,0.620523934904067,0.81136774736305,0,0,0.609532106100102,0,1,3
"30203",2016,0.458215818291594,0.803998830740973,0.702978336401533,0.657230702121858,0.81136774736305,0,0,0.621519197376307,0,1,3
"30204",2016,0.458524495640065,0.778568172087567,0.732582691786741,0.658700922363818,0.947157198434707,0,0,0.50420185684017,0,1,3
"30205",2016,0.427843476858545,0.742951702597759,0.63908687143194,0.60140712389566,0.974523052835148,0,0,0.688929938469844,0,1,3
"30206",2016,0.448291414059668,0.818109114846564,0.635750924934997,0.62844447285817,0.917599918025325,0,0,0.667267367337651,0,1,3
"30207",2016,0.207264789586247,0.714749156347968,0.55919906327692,0.587144265826292,0.81136774736305,0,0,0.474800109045813,0,1,3
"30208",2016,0.440208152111788,0.916194076481438,0,0.806856216862356,0.850274152617282,0,0.679585301658226,0.709858080384529,0,2,3
"30210",2016,0.456347865263677,0.871333827381722,0.697200891724317,0.721235499165094,0.947157198434707,0,0.697000134550079,0.699482759090144,0,2,3
"30211",2016,0.410063476973044,0.792301956191987,0.590805555971742,0.628358600132912,0.974523052835148,0,0,0.584836003353942,0,1,3
"30212",2016,0.527677897614753,0.730286096559547,0,0.56998871717899,0.850274152617282,0.747897430806286,0,0.518393708002129,0,3,2
"30213",2016,0.427442022432148,0.789826662850396,0.512166786691942,0.598102184510156,0.947157198434707,0.710265099928172,0,0.699482759090144,0,4,1
"30214",2016,0.424807922119159,0.797419707511018,0.717819449810709,0.652678418794961,0.947157198434707,0,0.45980005589945,0.489676053795542,0,2,3
"30215",2016,0.488735848905932,0.766272742703231,0.647184532762196,0.618872311681469,0.81136774736305,0,0,0.321806296280815,0,1,3
"30216",2016,0.347932628563776,0.76427609755072,0.602475920382133,0.557939274983944,0.767874062388794,0,0,0.545834573939802,0,1,3
"30217",2016,0.412637217297451,0.70042738025369,0.409871294666741,0.547295294129116,0.850274152617282,0.757968556782856,0,0.281965479766254,0,4,1
"30218",2016,0.477392655550252,0.811188456232622,0.712821553146111,0.64954520693691,0.947157198434707,0,0,0.532266619662216,0,1,3
"30219",2016,0.384337586397402,0.856033295620592,0,0.703010460309072,0.947157198434707,0,0,0.474800109045813,0,2,3
"30220",2016,0.387981862772136,0.77861267351637,0.631353398359035,0.60421039260537,0.947157198434707,0,0,0.678193731315473,0,1,3
"30221",2016,0.462969281219406,0.847627247994178,0.700108629418965,0.717304802263604,0.974523052835148,0,0.492055131523715,0.667267367337651,0,2,3
"30222",2016,0.402760800120765,0.749585068411134,0.672522195541526,0.608715978834211,0.947157198434707,0,0,0.50420185684017,0,1,3
"30223",2016,0.535417679372212,0.824629779396231,0,0.674993129727134,0.974523052835148,0,0,0.805018039141692,0,2,3
"30226",2016,0.360216291450083,0.791489458246634,0.681028819391746,0.628358600132912,0.947157198434707,0,0.593805309662817,0.709858080384529,0,2,3
"30228",2016,0.490354176665385,0.714836936351656,0,0.586105261165478,0.81136774736305,0.752764068397044,0,0.584836003353942,0,3,2
"30229",2016,0.444101941704319,0.784613752188055,0.505135960261111,0.54681536557581,0.947157198434707,0.783078820435147,0.270601093905558,0.966980415613347,0,4,1
"30230",2016,0.493825467714869,0.807707583977002,0,0.611986152017218,0.850274152617282,0,0,0.787123575589987,0,2,3
"30231",2016,0.278202989706809,0.928089788821621,0.732069057766201,0.795400220396466,0.81136774736305,0,0.83448340029466,0.855785201236549,0,2,3
"30232",2016,0.475576219007949,0.739081576397983,0.651371563895968,0.627672921239193,0.947157198434707,0.752764068397044,0,0.805018039141692,0,4,1
"30234",2016,0.454292080476152,0.776707690008389,0.696760964257368,0.636617982414295,0.81136774736305,0,0.270601093905558,0.3945159662557,0,2,3
"30235",2016,0.494105739630231,0.817690877577284,0,0.635817343910244,0.974523052835148,0,0,0.777978092079468,0,2,3
"30238",2016,0.395932759846766,0.895735901697983,0.85034247103025,0.77552463516964,1,0,0.518619081757775,0.871820484452472,0,2,3
"30239",2016,0.510077605167162,0.798311595302591,0.701334738354059,0.632076290811245,0.947157198434707,0,0,0.796135713835763,0,1,3
"30241",2016,0.386864498019093,0.791378666953894,0.693110891854127,0.631031986566385,0.947157198434707,0,0,0.730099773828181,0,1,3
"30242",2016,0.362859071007996,0.907570208720833,0,0.790859471365518,1,0,0.80093336004711,0.739977037312537,0,2,3
"30243",2016,0.432194942460568,0.819587103320427,0.698964444195828,0.628530189876033,0.974523052835148,0,0,0.777978092079468,0,1,3
"30244",2016,0.39289769022871,0.833519115491371,0,0.625979031936926,0.947157198434707,0,0.83448340029466,0.871820484452472,0,2,3
"30245",2016,0.513968874203938,0.726616699821322,0.565173297735993,0.618872311681469,0.81136774736305,0.713548876667043,0,0.584836003353942,0,4,1
"30246",2016,0.449542852658131,0.811708921204551,0.474697101695127,0.661340098489246,0.81136774736305,0,0,0.730099773828181,0,1,3
"30248",2016,0.45045758542029,0.682119109106736,0.44386552065099,0.566937805826125,0.81136774736305,0.675219188210565,0,0.340802256478578,0,4,1
"30249",2016,0.421158106236984,0.784806773456015,0.686778105065122,0.632234924947826,0.974523052835148,0,0,0.545834573939802,0,1,3
"30250",2016,0.391213137000533,0.807055405897984,0.6248054017761,0.582843774946522,0.850274152617282,0,0,0.910175351230839,0,1,3
"30252",2016,0.398059953725979,0.708186577108941,0.651594020210107,0.583956127337383,0.81136774736305,0,0,0.532266619662216,0,1,3
"30253",2016,0.352099950510594,0.754152155310682,0.663426752017843,0.582391400279027,0.81136774736305,0,0,0.644817087754136,0,1,3
"30254",2016,0.458125226130503,0.729081890495464,0.509021469755561,0.545840639299761,0.594316129069746,0,0,0.559110669873036,0,2,3
"30255",2016,0.468089245898558,0.76819231177741,0.602962257253775,0.610253443871352,0.974523052835148,0,0,0.822408557675212,0,1,3
"30256",2016,0.521783357200761,0.674847029283028,0,0.575028451660202,0.81136774736305,0.700175429184563,0,0.678193731315473,0,3,2
"30257",2016,0.405259315730955,0.841711533734644,0,0.628358600132912,0.974523052835148,0,0,0.839322506708474,0,2,3
"30258",2016,0.420656284278694,0.780526889362904,0.724680959225148,0.636977474148456,0.974523052835148,0,0,0.739977037312537,0,1,3
"30259",2016,0.450485224039398,0.783324657603512,0,0.568487869748125,0.947157198434707,0,0.270601093905558,0.822408557675212,0,2,3
"30260",2016,0.373965411474885,0.856997281082617,0.735234775566291,0.694955195270193,0.974523052835148,0,0.418731162415017,0.84760875218857,0,2,3
"30262",2016,0.444967997134203,0.952817632794457,0,0.798693668332515,0.974523052835148,0,0.83448340029466,0.822408557675212,0,2,3
"30263",2016,0.387164409806873,0.904300478848072,0.735556426566315,0.655423266281091,0.947157198434707,0,0,0.709858080384529,0,1,3
