"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"13343",2007,0.527519800744847,0.825519898495477,0.745381370829694,0.717787841171783,1,0,0,0.633277991890224,0,1,1
"13344",2007,0.503153238604802,0.802010580849116,0,0.623236060985831,0.850274158936154,0,0.492055126951291,0.667267344340745,0,2,1
"13345",2007,0.481645431492608,0.801422886614235,0.691692347674266,0.665873143706851,1,0,0.459800051036672,0.597307590733008,0,2,1
"13346",2007,0.490327943250893,0.893334881349384,0,0.688426436682591,0.850274158936154,0,0,0.917568488836087,0,2,1
"13347",2007,0.427625699354741,0.893865787975342,0.746639619357046,0.716494824444207,0.850274158936154,0,0.459800051036672,0.932094291880716,0,2,1
"13348",2007,0.503719809051204,0.914506841660961,0,0.812733051536473,0.947157200179326,0,0.834483398804711,0.768694811103039,0,2,1
"13349",2007,0.471580068646953,0.880134346200963,0.78777435001463,0.763256473182336,0.974523053676275,0,0,0.730099755430655,0,1,1
"13350",2007,0.49248067075065,0.801861776993197,0.653307450922972,0.637871622669721,0.917599920745785,0,0.362142959789231,0.633277991890224,0,2,1
"13351",2007,0.399623184929889,0.905860829598128,0,0.830263458856249,0.974523053676275,0,0.362142959789231,0.7592699795655,0,2,1
"13352",2007,0.511176283456854,0.825880103648215,0,0.642668172045753,1,0,0,0.730099755430655,0,2,1
"13353",2007,0.476188039616189,0.732185486609439,0.477783010521622,0.615688301210789,0.850274158936154,0.755862839565904,0,0.545834550942895,0,4,3
"13355",2007,0.379754622118222,0.833306678210529,0.761485391057752,0.700505941285208,0.850274158936154,0,0,0.621519176679091,0,1,1
"13357",2007,0.51182964809132,0.784628890121715,0.652364560323391,0.644018275425548,0.974523053676275,0,0,0.340802219683527,0,1,1
"13358",2007,0.442826372260863,0.90977988782978,0.849817650732717,0.798743969271329,1,0,0.270601087339647,0.667267344340745,0,2,1
"13359",2007,0.44487901889481,0.763074942599755,0.706879162325884,0.631284320645568,0.947157200179326,0,0,0.474800090648288,0,1,1
"13360",2007,0.456931715267025,0.863401030471563,0,0.810378339462857,0.974523053676275,0,0.757736364082526,0.924874219797739,0,2,1
"13361",2007,0.405216120897475,0.894658138711073,0.56407774757444,0.822058166535877,0.850274158936154,0,0,0.777978055284417,0,2,1
"13365",2007,0.5624612848765,0.82467625271628,0.641159304122546,0.662614814655061,0.974523053676275,0,0,0.739977018915011,0,1,1
"13366",2007,0.534617670842415,0.791930381824918,0.713736522975583,0.662674984812453,0.947157200179326,0,0,0.777978055284417,0,1,1
"13367",2007,0.521438294896102,0.937737671336004,0,0.861493108356614,0.974523053676275,0,0.654050471430284,0.777978055284417,0,2,1
"13368",2007,0.384611979788603,0.855793971838511,0.738989074548884,0.656592216598522,0.811367753590791,0,0,0.7592699795655,0,1,1
"13369",2007,0.530798037705307,0.842782725177868,0.672364752928947,0.646609474222841,0.811367753590791,0,0,0.787123538794936,0,1,1
"13371",2007,0.521757713704902,0.867582872980165,0,0.773056503502879,0.811367753590791,0,0.716604997654668,0.830923484397132,0,2,1
"13372",2007,0.483971430422779,0.899752248178272,0.755612436671613,0.811670945589572,0.947157200179326,0,0,0.7592699795655,0,1,1
"13373",2007,0.488381419040069,0.777452658073759,0.722757923225597,0.645761213058394,0.947157200179326,0,0,0.459556931289805,0,1,1
"13374",2007,0.71160137004392,0.655867621622864,0.548265144710771,0.592679899326408,0.947157200179326,0.696260830906497,0,0.7592699795655,0,4,3
"13375",2007,0.420745365591842,0.776826066270275,0.612823404544881,0.636851892899092,0.850274158936154,0,0,0.584835981506881,0,1,1
"13378",2007,0.484471287603548,0.867545979501931,0.781799762103518,0.812337515018528,0.974523053676275,0.908917694310554,0,0.699482740692618,0,4,3
"13379",2007,0.445284672663908,0.728122445109874,0.693023409079413,0.626542576587776,0.811367753590791,0,0,0.504201838442645,0,1,1
"13380",2007,0.426898824331643,0.879723063349013,0.811980491851471,0.786240284901409,0.974523053676275,0,0.730401102369072,0.72006177116363,0,2,1
"13381",2007,0.453584610669914,0.744092866718976,0.575997680534175,0.570310010966242,0.811367753590791,0,0,0.7592699795655,0,1,1
"13382",2007,0.505301436541472,0.759093977859329,0.720239347809263,0.665477762927186,0.850274158936154,0,0,0.777978055284417,0,1,1
"13383",2007,0.461623435552083,0.760822366777057,0.651865927671751,0.607110479910258,0.811367753590791,0,0,0.55911064687613,0,1,1
"13384",2007,0.483649554631715,0.773349704179292,0.50539243944396,0.61584831954112,0.811367753590791,0.706550305028508,0,0.216924487135861,0,4,3
"13385",2007,0.478329335360658,0.681095824062454,0.572121701115924,0.58572200042454,0.947157200179326,0.698305242843217,0,0.394515929460649,0,4,3
"13386",2007,0.462516184718155,0.880393378436476,0,0.693236374278132,0.947157200179326,0,0,0.709858061987003,0,2,1
