"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"1",1998,0.357091060109287,0.936454800342883,0,0.724262304407176,0.746476327165657,0,0,0.776165650406215,0,3,2
"2",1998,0.462867373384349,0.920181762414849,0,0.767864040611153,0.928978731064077,0,0.541202174679293,0.748375394485759,0,2,1
"4",1998,0.503551695433211,0.846037108001492,0,0.639815242680249,1,0,0.762656250298185,0.709189025725926,0,2,1
"6",1998,0.512578450034173,0.925255597136375,0,0.730300249172032,0.928978731064077,0,0.757736364082526,0.776165650406215,0,2,1
"8",1998,0.501440728956062,0.790249817056901,0.666368676768367,0.618178433844905,0.928978731064077,0,0,0.633743579770084,0,1,1
"9",1998,0.391433649888752,0.940244743489667,0.78031676208698,0.789318899772977,0.96575872447619,0,0.620846100452946,0.633743579770084,0,2,1
"10",1998,0.520950974792526,0.762800344821902,0.702100734569113,0.634435756865366,0.889253438857855,0,0,0.520215427893316,0,1,1
"11",1998,0.457909372449229,0.898473552805664,0.761714409560484,0.760546806336517,1,0,0.861918256563662,0.656288980348848,0,2,1
"12",1998,0.446610203011565,0.791331093934851,0.725076826988548,0.640026681792103,0.928978731064077,0,0,0.633743579770084,0,1,1
"13",1998,0.554214513702557,0.909074836218259,0.784773060236626,0.78126926010746,0.96575872447619,0,0,0.610313997792532,0,1,1
"14",1998,0.502801650828986,0.821378577447858,0.747937607669145,0.664274560995852,1,0,0,0.547373737496023,0,1,1
"15",1998,0.48038697296414,0.907941746218528,0,0.732695652973255,1,0,0.804644265141957,0.819789458759414,0,2,1
"16",1998,0.432039229671263,0.848108939769596,0.756532981248934,0.65539172171246,0.798766933298419,0,0.418731157182544,0.709189025725926,0,2,1
"18",1998,0.510922346250724,0.798993245758719,0,0.599842325592455,0.746476327165657,0,0,0.678014146795561,0,2,1
"19",1998,0.523458011726644,0.810307968094168,0.719727789058863,0.629170058682558,0.928978731064077,0,0.697000131822532,0.656288980348848,0,2,1
"20",1998,0.481830462806439,0.795898903183302,0.608370844767761,0.639067699648822,0.96575872447619,0,0,0.573350762937737,0,1,1
"21",1998,0.480591212122603,0.898287701461693,0.801463764185986,0.70538090796277,0.928978731064077,0,0.834483398804711,0.678014146795561,0,2,1
"22",1998,0.500107847455231,0.758608306994162,0.70825407749762,0.600331689874622,0.746476327165657,0,0,0.506158788298126,0,1,1
"23",1998,0.467667144877567,0.880070306332766,0.64522174283269,0.736437497120333,0.96575872447619,0,0.730401102369072,0.547373737496023,0,2,1
"24",1998,0.473790860697344,0.799503602044047,0.64955657801819,0.639709168888838,0.928978731064077,0,0,0.520215427893316,0,1,1
"25",1998,0.434359566729207,0.897025178479766,0.805397113538618,0.803201189678605,1,0,0.270601078337835,0.533948901792096,0,2,1
"27",1998,0.438028092387195,0.686239902499144,0.675821573478405,0.565186496374715,0.746476327165657,0,0,0.560503467746668,0,1,1
"28",1998,0.453516305655782,0.750990687602272,0.69972231408989,0.546245269826982,0.746476327165657,0,0,0.414072231734729,0,1,1
"30",1998,0.520956235718499,0.720859344393841,0.593554559197873,0.584602866656253,0.928978731064077,0.758203789332126,0.270601078337835,0.242216748614119,0,4,3
"31",1998,0.471838157594777,0.783719819589644,0.673959406733392,0.621874931065209,0.928978731064077,0,0.418731157182544,0.560503467746668,0,2,1
"33",1998,0.424733404066767,0.699473844364598,0.587924129030779,0.560916857455356,0.798766933298419,0.68525568002173,0,0.196241763832389,0,4,3
"34",1998,0.491529854980859,0.897228002778429,0.67800112192684,0.738509011665305,1,0,0.753681804029333,0.729103381831451,0,2,1
"35",1998,0.409523638244696,0.843612019526929,0.744165730352735,0.656522863904715,0.798766933298419,0,0.270601078337835,0.633743579770084,0,1,1
"38",1998,0.421484988142706,0.781833438286711,0.714860371589078,0.626018068134488,0.545243268899537,0,0,0.698977046689966,0,1,1
"39",1998,0.464955200609744,0.817719201552648,0.715935077286515,0.679563231646755,0.928978731064077,0,0.492055126951291,0.477012489805824,0,2,1
"40",1998,0.502962139536496,0.797456433941253,0,0.570947225248937,0.798766933298419,0,0,0.828144481272769,0,2,1
"41",1998,0.519270595245465,0.807938380148516,0.614356906039137,0.579223398388688,0.746476327165657,0,0,0.622143656854859,0,1,1
"42",1998,0.445590109863689,0.724670339570605,0.609175120410545,0.590941317354058,0.344010206935681,0,0,0.678014146795561,0,2,1
"43",1998,0.501857226414139,0.772720418866608,0.696298402651319,0.652480591384992,0.928978731064077,0,0.418731157182544,0.379926906015326,0,2,1
"45",1998,0.560251886905492,0.823733176852952,0,0.581085120722876,0.746476327165657,0,0,0.738817153019883,0,2,1
"46",1998,0.15543376732528,0.757447067941334,0,0.543826513331408,1,0,0,0.785149058575171,0,3,2
"48",1998,0.454800503225502,0.845956971225239,0,0.67484142338249,0.928978731064077,0,0.459800051036672,0.446370855638508,0,2,1
"49",1998,0.426787520771973,0.820368290900147,0.550720100035947,0.622945107818646,0.746476327165657,0,0,0.491763316093082,0,1,1
"50",1998,0.501896439559554,0.791901013851958,0.653927717336045,0.632000967174669,0.798766933298419,0,0,0.633743579770084,0,1,1
"51",1998,0.412533013286993,0.757331243817018,0.759293483809743,0.621252391377461,0.928978731064077,0,0,0.688587604252627,0,1,1
"54",1998,0.461742383349411,0.766145444556626,0.731147039413826,0.636751728172691,0.889253438857855,0,0.362142959789231,0.610313997792532,0,2,1
"56",1998,0.357644402674618,0.919354309049742,0,0.698825152715747,0.746476327165657,0,0.757736364082526,0.729103381831451,0,2,1
"57",1998,0.54915240143775,0.895796484783081,0,0.677930263375685,0.798766933298419,0,0.800933358255149,0.802720214135373,0,2,1
"59",1998,0.422405572972933,0.862091671221591,0.854218050169533,0.574010726463085,1,0,0.270601078337835,0.678014146795561,0,2,1
"61",1998,0.52839171845737,0.833672582399202,0.591355242341469,0.601533473499296,0.746476327165657,0,0.270601078337835,0.430439741062952,0,2,1
"63",1998,0.47121921976912,0.695374118248082,0.625616473585481,0.590344229215106,0.889253438857855,0.691454654528476,0,0.219671348035355,0,4,3
"64",1998,0.498905833098804,0.874507983651468,0.609070915587809,0.694340682877299,0.746476327165657,0,0,0.533948901792096,0,1,1
"65",1998,0.462829355180922,0.897830594082582,0.767022877392343,0.754327148539709,1,0,0.270601078337835,0.397243545445301,0,2,1
"66",1998,0.461036103296567,0.733812079510851,0.642729234538902,0.600331689874622,0.928978731064077,0.562717332634571,0,0.379926906015326,0,4,3
"67",1998,0.3734377623692,0.735629305174373,0.653261430419757,0.568631264576335,0.889253438857855,0,0,0.610313997792532,0,1,1
"70",1998,0.503475710616911,0.790273998343063,0,0.555604371634015,0.454756760682354,0,0,0.961446004837373,0,2,1
"71",1998,0.488745301310964,0.844528247314337,0.763501413798485,0.66733807745312,0.96575872447619,0,0.620846100452946,0.688587604252627,0,2,1
"72",1998,0.441085829069772,0.80243216226689,0.709047518699753,0.628097290215448,0.96575872447619,0,0.270601078337835,0.645122601431158,0,1,1
"73",1998,0.457036726943318,0.85358857786891,0.795968694239063,0.698271762455312,1,0,0.730401102369072,0.397243545445301,0,2,1
"74",1998,0.412194105340341,0.784258309744848,0.699691733695961,0.639496307538056,0.621748487958617,0,0,0.828144481272769,0,1,1
"75",1998,0.582443632844544,0.752236126361943,0.383925298151376,0.560916857455356,0.96575872447619,0.763604526895102,0,0.844512133027477,0,4,3
"78",1998,0.480672788823076,0.902406759248632,0.78559493830735,0.71974348073055,0.96575872447619,0,0.654050471430284,0.585927734119077,0,2,1
"81",1998,0.487315385308472,0.792047731686545,0.680455429325291,0.620780069374221,0.798766933298419,0,0,0.461888078846163,0,1,1
"82",1998,0.420265762727815,0.970436609951973,0,0.833328478530681,0.798766933298419,0,0.7692853285195,0.875960470810689,0,2,1
