"","X","period","earnings","random"
"39525",39525,1989.5,1.2964395949826,0.283755976241082
"581015",581734,1999,2.19088345709496,0.390372288180515
"201630",201630,1992.25,0.826801322885563,0.15691932127811
"34761",34761,1989.5,0.843519878201035,0.917462163139135
"411160",411504,1995.75,1.65604161483492,0.390372288180515
"512965",513551,1997.75,1.42422286349672,0.390372288180515
"162223",162223,1991.5,1.36879028895206,0.414488829672337
"215614",215614,1992.5,0.762223885939925,0.338132803561166
"452159",452630,1996.75,0.34620038803436,0.390372288180515
"321675",321762,1994.25,1.05996669246403,0.524074231041595
"594477",595274,1999.5,0.123257751195817,0.390372288180515
"682523",683493,2001,1.08958663299068,0.390372288180515
"667385",668338,2000.75,0.863319972965317,0.390372288180515
"163061",163061,1991.5,1.46923126597558,0.079116256441921
"643540",644448,2000.25,1.16115424072461,0.390372288180515
"236462",236462,1992.75,1.30664450195036,0.96761790686287
"621507",622389,2000,0.156848070905716,0.390372288180515
"446953",447391,1996.5,1.25637979366176,0.390372288180515
"520389",521002,1998,0.766925144802286,0.390372288180515
"175995",175995,1991.75,1.20550749192433,0.578933083219454
"687296",688266,2001,2.50560260107231,0.390372288180515
"119113",119113,1990.75,1.62565529900138,0.490942451637238
"553303",553977,1998.5,1.60531076220086,0.390372288180515
"129287",129287,1991,1.07836420710391,0.844684765907004
"599795",600592,1999.5,0.807894048321394,0.390372288180515
"540693",541347,1998.25,1.79953896119962,0.390372288180515
"296755",296755,1993.75,1.51951109703234,0.434283262351528
"249675",249675,1993,1.18478951203789,0.859210328198969
"133573",133573,1991,1.56016426286369,0.589369047200307
"466251",466748,1997,0.524471856493956,0.390372288180515
"104956",104956,1990.5,1.91121014017559,0.664774779696018
"110059",110059,1990.75,0.702762966253679,0.553178032627329
"423187",423550,1996,1.52717393208562,0.390372288180515
"32997",32997,1989.5,0.688505061320971,0.122170345624909
"405081",405425,1995.75,0.873525277546095,0.390372288180515
"461059",461530,1996.75,1.38105137032151,0.390372288180515
"65095",65095,1990,0.825809681632814,0.928379813674837
"439004",439442,1996.5,0.340971279625065,0.390372288180515
"274181",274181,1993.5,0.682198821763234,0.65327187301591
"560344",561040,1998.75,0.82958883401892,0.390372288180515
"541568",542222,1998.25,2.62939974895936,0.390372288180515
"686912",687882,2001,2.00633878375894,0.390372288180515
"410814",411158,1995.75,1.57735312544678,0.390372288180515
"247623",247623,1993,0.975516132353881,0.50626247166656
"665536",666489,2000.75,0.684410717720773,0.390372288180515
"151598",151598,1991.5,0.2211838696661,0.204316889867187
"409379",409723,1995.75,1.35176331543261,0.390372288180515
"72206",72206,1990,1.57318974244457,0.729532530996948
"200546",200546,1992.25,0.714125925202906,0.688428536290303
"107686",107686,1990.75,0.441451438873029,0.378290856489912
"603984",604781,1999.5,1.26644495276347,0.390372288180515
"166487",166487,1991.75,0.151366965493444,0.0369587894529104
"19515",19515,1989.25,0.775648009412193,0.498011325718835
"384001",384240,1995.25,1.92191057366703,0.928465645061806
"729895",730968,2001.75,1.79595544728214,0.390372288180515
"219249",219249,1992.5,1.08861846269433,0.676181657938287
"421498",421861,1996,1.2615136885022,0.390372288180515
"192026",192026,1992,1.36982197717819,0.447423602687195
"507022",507608,1997.75,0.725673793879889,0.390372288180515
"141911",141911,1991.25,0.855593769247642,0.00129664712585509
"311026",311057,1994,1.52942202391699,0.313077725470066
"458846",459317,1996.75,1.0932128476298,0.390372288180515
"711152",712190,2001.5,1.24541093547367,0.390372288180515
"49028",49028,1989.75,0.763858798155853,0.296442591585219
"139564",139564,1991.25,0.629159033991024,0.583976845256984
