x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
10986.26792848882,-45514.377796563975,70083.17022687901,-78487.72650800167,64122.87350417423,9115.418761619678,-58245.61655797339,36857.79940451919,14540.115090887963,-48368.0313248036,7096.818651784662,59031.44630680165,-53898.75627581277,-26094.321367605397,65411.17102627186,-31462.96424362475,5061.457812102999,9.741206383272377
-10101.246134679515,26506.312003085877,-49715.42529785384,86157.36739887741,-110699.37560292127,87970.59618764982,-38976.445145017104,-15048.07215089844,43129.58062969701,-45250.65143217321,72299.57399733056,-73342.8936178956,34707.261067130945,17876.364167691463,-34722.75876434482,3796.3998693176104,2838.405640628155,10.265947846126299
-21467.258176864263,30303.06853743319,-6288.2115596122,-72695.00504069221,185686.9768268223,-233047.0308866257,152698.39113149146,-70466.18529739266,2445.570739511674,64406.81678285436,-63210.42778444398,5388.3234594648575,107354.70035438724,-198569.08535162485,181446.74398174408,-81943.23524124917,12014.487974325226,9.441525260707293
-25882.642380279616,33796.631050717784,-28302.251631953826,41457.772508522896,-87022.18378866254,79416.35617501981,-90.49304320291407,-113455.46478870523,150952.43255085786,-113345.67810540339,86965.91809305741,-18327.136647912746,-30565.500941214334,-9853.266839731254,53783.722820957904,-33422.61009307365,4850.350639746843,14.108455004685577
-7357.098931035224,-1713.0368881595682,35079.448651758314,-85562.83932159758,137701.2466041448,-182871.3997372337,154239.07670290992,-132738.03478709262,100487.99080499518,-16608.776043667072,-3978.7476222865216,-24383.824348369362,121431.77807202814,-184559.2497144174,123975.67226764915,-38391.59598582531,3070.6152705105123,15.31022847683071
-25044.560326657192,22643.949920601055,37588.47373945361,-122297.67081859011,222282.09235897486,-298341.57679468294,194846.44410203685,12728.919188672016,-110023.22442082771,113529.30505325041,-83073.25050873519,5219.026475688491,102655.97839157774,-133765.72147691392,74112.90151322169,-17963.269365095235,400.8159271671579,15.877803036512303
-41072.83328565708,76240.5525164552,-33082.72823468459,-36743.349346094124,88121.58748743414,-193473.12275297326,221302.78359045225,-180606.5721739897,71341.65761672822,77916.60369742937,-131183.512486496,73318.44104110968,68276.68082505275,-132349.9433948542,92644.16549222986,-27477.922529563748,1652.246646947681,15.75836512595689
-17321.441696352234,67026.45701856076,-84259.7230991552,26434.460976469403,40168.80022524079,11176.123532444415,-115613.91323669971,182684.80195530262,-116060.8822928886,-19049.435236090492,72335.0547068845,-54873.42396648415,20041.647756606762,-57197.34925747498,81174.60182540951,-43180.05819613159,6031.395436531632,13.308942657624746
8363.363960440265,-35296.05288300716,58345.69921168926,-62206.75836857082,4005.6574604438224,113011.04660412415,-142305.6873822751,187040.1633684087,-182127.1695054102,76445.51697524523,-50274.0608168903,19100.105560528325,59803.10932556924,-116735.45014197876,101512.56289937995,-45555.77044924742,7120.886728028322,11.435413616576596
-11128.277160171418,33641.64288199711,-62561.06118608611,134407.0968248162,-283973.6855719322,408383.7854630692,-319274.7202252794,281365.66204036784,-265490.10349971044,147708.00711137694,-167169.7072613968,153183.60006454898,-152301.73615965538,160998.01088334937,-60194.169230211555,-3814.6876200253964,4458.736257742939,9.451066966617075
-1657.7617689852507,-6313.75079760447,20691.564327059223,-32936.73385986355,32063.639636664888,-15469.095570233898,12126.688793484553,-74676.10766001126,98463.41032735532,-50075.57240130166,91128.80202568219,-124838.37298277151,98290.8810085396,-31506.261941053384,-27974.749768180296,11245.604984060099,872.9790249646452,10.438719124050396
-7329.413916571823,12458.421229086654,-10438.649833453299,22141.066179162775,-68152.9201196866,105551.99401414329,-65574.08873087137,-25489.53632146062,57462.21499101496,-42072.37303109806,154517.23409447918,-229581.62056418642,198248.28246507875,-102181.50669361059,-14599.175589264794,13593.140398250318,235.07938236025154,10.344612443478258
-584.7075014580215,-7428.4846818828255,14096.652132559891,-6975.252393259149,-7706.814825415006,15036.452174861055,-8419.361006736171,7362.542923510926,-12605.08389660456,-6313.758233498883,88569.01638108707,-92275.43648714472,-31801.567981572854,107444.82336308518,-69296.87764424163,7873.758505073063,2518.809782311881,9.789868432614492
6298.723415455708,-26572.43509661063,40870.20324472566,-62460.601064330906,132146.07105038874,-201664.4748387126,158965.4676082664,-117618.19333632682,88618.67133521228,-18124.407377143274,-65200.56179265975,130420.85292677145,-188822.15011021335,180904.22704565906,-52862.822264485534,-9451.048375559021,4797.070721468606,10.220497646511975
4408.322478377378,-16066.672654280392,23238.78227798232,-43472.27827278157,88791.06346416939,-85632.60240446907,17182.264020484476,28673.939080028762,-7845.06756324054,-27095.18506854751,82733.44184238002,-116206.61360669373,180610.59056780487,-244028.88727224903,169691.15480709646,-63309.91872718621,8531.129620396903,11.245564656590904
