x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
11566.8490979758,-46205.59744847936,67982.95773040321,-65423.72067997171,39186.40669577608,16500.651760751123,-34468.11060649597,-7151.607313107624,19204.24159078487,11162.346506791026,-4859.433061003858,-17354.743537923016,-8415.642222288325,14565.13536250614,35201.183924489305,1032.3604642575401,-48300.69874077102,-16316.956999128788,58696.49480972816,-31703.485619406503,5446.119410676505,9.471007725180039
-10706.613758629152,28951.398944700966,-55547.352585795335,106038.9798437657,-183453.66811036004,285978.36802845553,-412999.66389824863,476241.19491257635,-333035.32503199764,-53144.60113080477,464077.8260193959,-553854.6260016846,292428.9568881928,10625.590139300017,-132586.32517374438,81143.96354871475,-21502.393771652674,43607.936342808636,-43001.335769100435,5336.4825985349435,2739.4375890360348,10.280387249405814
-22269.33902852072,33435.133886595046,-13603.02730304016,-49014.34837228473,101098.81746539881,5469.171880443429,-361088.65406307747,899913.8942710507,-1.3327199492319704e6,1.4581934800279762e6,-1.3534104093502802e6,985204.450563774,-404582.65243764804,-20541.764028016038,120413.94563304735,-128157.91567496862,187831.62194221618,-231894.16115267447,191159.71454533748,-83626.97702183599,12122.201354816067,9.419910856754141
-25968.26234429785,34107.55863720527,-29009.63334556495,43716.642463348384,-95176.32514316749,105348.53038702613,-73561.60743924993,184458.30059169861,-464289.8170900557,612196.6390565305,-309663.4611689805,-269391.01644373895,689812.9850838621,-919755.7231735259,996029.246239994,-780765.0259566393,406061.5634884182,-176604.96999887674,98853.57189001428,-40752.16707619144,5293.483455094723,14.012980136146147
-8257.943820769533,2280.2453491442857,25243.24308639527,-53533.19390742692,31477.965619159335,85047.89646035961,-351358.17327497783,752042.8082367419,-994989.3574617063,861162.3685659869,-479000.633176731,79162.47405535061,245713.2076396581,-443578.74628497055,434785.5524746426,-350490.6480488302,313950.9810716987,-256899.44701998663,143066.66761507577,-41342.041294416005,3235.3045628182545,15.275059127959103
-25403.249780421575,24259.744847616465,33523.31362367527,-108086.91941490672,171261.2824682576,-153620.99415339116,-146712.9592107755,735330.8729194454,-1.3234496683832314e6,1.878293590810291e6,-2.301075991274079e6,2.109594929559815e6,-1.3732165476113968e6,725476.7802395618,-413926.6254299283,199043.52194283964,20803.20411872925,-107712.65540618468,67750.6459085334,-17017.482172331293,349.53459230531956,15.888037205206698
-39465.980828678774,68810.76264767557,-14088.74447539158,-102561.98844856236,308054.62603993504,-734105.750090762,1.2020636313931146e6,-1.3649006725250927e6,1.198657875571766e6,-853189.6587137516,221087.38307615338,521429.99986301427,-851160.6176139122,819391.0021407596,-733460.2085007374,549029.2059664147,-215423.26262119118,-29129.33611309962,65922.40725292925,-23424.57372143707,1428.1736948656583,15.805046533681544
-17138.856791866216,65977.53593135905,-81480.66540300533,17247.845880696594,71553.38004435247,-71088.63358290902,42876.543787097384,-239568.19656707812,477568.5410100207,-441572.5169756279,330057.89204707195,-281067.55044856534,102926.86228399516,171040.22915100429,-293543.9615328106,246077.3431899633,-134939.32367444964,5068.272896004596,64064.91121768264,-40396.78471206823,5862.235651256754,13.344572393983904
9007.565300773245,-38700.602929817425,67165.93245409308,-91836.8691138364,106887.57062466824,-167317.5828238202,440632.84016557835,-978710.2673456651,1.5165961898293535e6,-1.7250243411205835e6,1.5458688922421406e6,-1.1972829719141643e6,887286.2322634457,-600784.4616708413,331295.9945004237,-167558.32378878334,138401.08094786922,-145456.12929933207,109523.59033376952,-46915.849518287934,7205.166273864416,11.419333411736238
-11032.275878918668,33192.22183356986,-61424.77227798351,130461.31980067506,-269830.0987411864,371998.0089640062,-262647.912678198,-20994.17956813879,143019.1833005474,152071.3964756596,-681359.7032729317,957287.5260107276,-895149.6781510651,862861.414084038,-952301.7849190603,969590.6218665817,-770353.2917801924,431487.4634518957,-143272.11426003286,11157.08049228563,3487.178531834259,9.591995318055886
