x1,x2,x3
4.0,4.0,97750.33118579446
6.0,6.0,98562.35859922042
8.0,8.0,98936.63585324251
10.0,10.0,99004.95829391245
14.0,14.0,99216.59652447808
18.0,18.0,99305.14075404023
22.0,22.0,99386.89972125142
