x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
8.029272634993755e-9,2.4678121080323952e-8,4.6756980981382974e-8,8.571538751085696e-8,1.2318725856578591e-7,1.958738830346484e-7,2.711513723235264e-7,3.9450027104258624e-7,5.538941230434668e-7,7.022526953376154e-7,9.46055172360258e-7,1.1510538338429227e-6,1.5675385842591101e-6,8.758245654698021e-6
1.1704268945681388e-8,3.6939269891649746e-8,7.139945463617457e-8,1.3403818049273668e-7,1.958738830346484e-7,3.18875468230615e-7,4.4914870506696265e-7,6.666398826204642e-7,9.523470224346713e-7,1.221284384768227e-6,1.6672722701482872e-6,2.0449144557927954e-6,2.8169945417633345e-6,1.6935154293612883e-5
1.5281557938363413e-8,4.9070406632257744e-8,9.611430559299116e-8,1.833834724177777e-7,2.711513723235264e-7,4.4914870506696265e-7,6.411431104177866e-7,9.66786468651005e-7,1.400618998681069e-6,1.812926560569215e-6,2.5019592570961626e-6,3.0888509361027376e-6,4.295060320490525e-6,2.7375721159943256e-5
2.0857064699978568e-8,6.822722504642834e-8,1.355717681294818e-7,2.6331706288178273e-7,3.9450027104258624e-7,6.666398826204642e-7,9.66786468651005e-7,1.4862650373366863e-6,2.191187652645861e-6,2.8696680956424934e-6,4.015070954067951e-6,4.9982241234407724e-6,7.032685930216024e-6,4.8204094608165345e-5
2.7751318427841378e-8,9.219150290769574e-8,1.8540891559952148e-7,3.655740198427169e-7,5.538941230434668e-7,9.523470224346713e-7,1.400618998681069e-6,2.191187652645861e-6,3.2832552630484977e-6,4.347611016448377e-6,6.162670591749147e-6,7.732564524432854e-6,1.1003145835176964e-5,8.077271782223246e-5
3.3975560520305186e-8,1.1400279538556817e-7,2.3107273101001209e-7,4.6009581496295693e-7,7.022526953376154e-7,1.221284384768227e-6,1.812926560569215e-6,2.8696680956424934e-6,4.347611016448377e-6,5.801024767932167e-6,8.297799008098547e-6,1.046936442205113e-5,1.5015660423448008e-5,0.00011567392143877922
4.395164993382678e-8,1.4919657752562506e-7,3.051596865349269e-7,6.145574148449975e-7,9.46055172360258e-7,1.6672722701482872e-6,2.5019592570961626e-6,4.015070954067951e-6,6.162670591749147e-6,8.297799008098547e-6,1.1999286139708478e-5,1.5241173081883297e-5,2.2070351286487435e-5,0.00018039762787448634
5.217678263582453e-8,1.7836826433004655e-7,3.668360208855443e-7,7.438695074394709e-7,1.1510538338429227e-6,2.0449144557927954e-6,3.0888509361027376e-6,4.9982241234407724e-6,7.732564524432854e-6,1.046936442205113e-5,1.5241173081883297e-5,1.9439051561087253e-5,2.8317279552342602e-5,0.0002402977960526995
6.859039806556948e-8,2.3686806138832425e-7,4.910108506850564e-7,1.0055521926844375e-6,1.5675385842591101e-6,2.8169945417633345e-6,4.295060320490525e-6,7.032685930216024e-6,1.1003145835176964e-5,1.5015660423448008e-5,2.2070351286487435e-5,2.8317279552342602e-5,4.1608088933285505e-5,0.0003733906241382712
3.032623414557138e-7,1.121570300322887e-6,2.4506966547533693e-6,5.355289670973794e-6,8.758245654698021e-6,1.6935154293612883e-5,2.7375721159943256e-5,4.8204094608165345e-5,8.077271782223246e-5,0.00011567392143877922,0.00018039762787448634,0.0002402977960526995,0.0003733906241382712,0.0052223583493795685
5.451015115459132e-10,1.4786408870229147e-9,2.5504232565042355e-9,4.2359717470098454e-9,5.727720204152165e-9,8.432127996211822e-9,1.1082676768301954e-8,1.5243618825464532e-8,2.0432933422669017e-8,2.5154467758467667e-8,3.27825144441939e-8,3.911723811054331e-8,5.184832477081518e-8,2.492791580621385e-7
1.4786408870229147e-9,4.2591406581276265e-9,7.585019662701954e-9,1.2955583531733246e-8,1.7792957645970667e-8,2.668605823686053e-8,3.550392176970151e-8,4.9478391203821634e-8,6.705599773942304e-8,8.314633673626258e-8,1.0927436777142235e-7,1.310609450744568e-7,1.750102089364688e-7,8.840725204892281e-7
2.5504232565042355e-9,7.585019662701954e-9,1.3777812693993847e-8,2.3995055192101496e-8,3.333927116984679e-8,5.0734493398523944e-8,6.816595578019325e-8,9.603308988952155e-8,1.3136280815952728e-7,1.6388497236041757e-7,2.1694452865834675e-7,2.613538144497424e-7,3.512469849633801e-7,1.8526085324928092e-6
4.2359717470098454e-9,1.2955583531733246e-8,2.3995055192101496e-8,4.2714417259192054e-8,6.020873084840372e-8,9.339158254363255e-8,1.2718235103733015e-7,1.8193044894219638e-7,2.5218621369428115e-7,3.1741787307635706e-7,4.246116752320148e-7,5.148433850042446e-7,6.98442183321295e-7,3.921479369965124e-6
5.727720204152165e-9,1.7792957645970667e-8,3.333927116984679e-8,6.020873084840372e-8,8.57407638856396e-8,1.3491634560693844e-7,1.8566845674725774e-7,2.6882826461384224e-7,3.76636278291177e-7,4.774583022278559e-7,6.441334504764617e-7,7.850985555577059e-7,1.0731553394270957e-6,6.330642722973895e-6
8.432127996211822e-9,2.668605823686053e-8,5.0734493398523944e-8,9.339158254363255e-8,1.3491634560693844e-7,2.1684405006771888e-7,3.0328450406410656e-7,4.4763256274265993e-7,6.380190520137147e-7,8.182471620731521e-7,1.1192119625421246e-6,1.3757667945806492e-6,1.9037521196683924e-6,1.214668870289622e-5
1.1082676768301954e-8,3.550392176970151e-8,6.816595578019325e-8,1.2718235103733015e-7,1.8566845674725774e-7,3.0328450406410656e-7,4.29717571078641e-7,6.444294720122056e-7,9.320491608528841e-7,1.2073236429267168e-6,1.6711892133962936e-6,2.069397056935363e-6,2.894052130285669e-6,1.9727259042821867e-5
1.5243618825464532e-8,4.9478391203821634e-8,9.603308988952155e-8,1.8193044894219638e-7,2.6882826461384224e-7,4.4763256274265993e-7,6.444294720122056e-7,9.862423989002406e-7,1.4540179286155956e-6,1.9085873565654874e-6,2.6842723017022213e-6,3.3566461902935022e-6,4.761054212092737e-6,3.53701853411897e-5
2.0432933422669017e-8,6.705599773942304e-8,1.3136280815952728e-7,2.5218621369428115e-7,3.76636278291177e-7,6.380190520137147e-7,9.320491608528841e-7,1.4540179286155956e-6,2.1839796607601537e-6,2.904639200479333e-6,4.1506514141075106e-6,5.2416556783732125e-6,7.540727728352724e-6,6.0947548248239814e-5
2.5154467758467667e-8,8.314633673626258e-8,1.6388497236041757e-7,3.1741787307635706e-7,4.774583022278559e-7,8.182471620731521e-7,1.2073236429267168e-6,1.9085873565654874e-6,2.904639200479333e-6,3.899582175994201e-6,5.636986292356529e-6,7.1699084126569115e-6,1.042189719784989e-5,8.952772909311303e-5
3.27825144441939e-8,1.0927436777142235e-7,2.1694452865834675e-7,4.246116752320148e-7,6.441334504764617e-7,1.1192119625421246e-6,1.6711892133962936e-6,2.6842723017022213e-6,4.1506514141075106e-6,5.636986292356529e-6,8.265817457400114e-6,1.0608405424878669e-5,1.5621606033989314e-5,0.00014489577156302685
3.911723811054331e-8,1.310609450744568e-7,2.613538144497424e-7,5.148433850042446e-7,7.850985555577059e-7,1.3757667945806492e-6,2.069397056935363e-6,3.3566461902935022e-6,5.2416556783732125e-6,7.1699084126569115e-6,1.0608405424878669e-5,1.369243166476871e-5,2.0330429223265458e-5,0.00019811287265974632
5.184832477081518e-8,1.750102089364688e-7,3.512469849633801e-7,6.98442183321295e-7,1.0731553394270957e-6,1.9037521196683924e-6,2.894052130285669e-6,4.761054212092737e-6,7.540727728352724e-6,1.042189719784989e-5,1.5621606033989314e-5,2.0330429223265458e-5,3.0554193797755004e-5,0.00032059910910929416
2.492791580621385e-7,8.840725204892281e-7,1.8526085324928092e-6,3.921479369965124e-6,6.330642722973895e-6,1.214668870289622e-5,1.9727259042821867e-5,3.53701853411897e-5,6.0947548248239814e-5,8.952772909311303e-5,0.00014489577156302685,0.00019811287265974632,0.00032059910910929416,0.0058324789665752386
2.0438539164330373e-10,6.067113791243165e-10,1.086037255790246e-9,1.8562296348643406e-9,2.547562730130108e-9,3.815772554518685e-9,5.072340956733106e-9,7.065316702887859e-9,9.578310008187671e-9,1.18865508440161e-8,1.5651540967594984e-8,1.88058663881516e-8,2.5203545338780422e-8,1.3478962939932453e-7
6.067113791243165e-10,1.922895770747631e-9,3.557985516460656e-9,6.254723329634663e-9,8.71689721779092e-9,1.3294604779274674e-8,1.7880999666743824e-8,2.5221586334118912e-8,3.455378994383498e-8,4.317614117700402e-8,5.7310383033129544e-8,6.919964713890131e-8,9.340303523847509e-8,5.229275228954658e-7
1.086037255790246e-9,3.557985516460656e-9,6.711065408273862e-9,1.201337000940617e-8,1.692014989349191e-8,2.614370332538489e-8,3.54706381309942e-8,5.0513081774987e-8,6.977014089522626e-8,8.765142178048477e-8,1.1708787123624954e-7,1.419332181503061e-7,1.9267041529365726e-7,1.119415884247579e-6
1.8562296348643406e-9,6.254723329634663e-9,1.201337000940617e-8,2.1930829982892302e-8,3.1282018022233835e-8,4.914826212540062e-8,6.747041887936123e-8,9.737140965753588e-8,1.3606639261020792e-7,1.7227793204105708e-7,2.322858939391946e-7,2.832039564538229e-7,3.8769246739008493e-7,2.380074434246556e-6
2.547562730130108e-9,8.71689721779092e-9,1.692014989349191e-8,3.1282018022233835e-8,4.502333501173577e-8,7.164111389132071e-8,9.927448338759061e-8,1.4484503923553406e-7,2.0438805797081986e-7,2.604970597005355e-7,3.540261905699419e-7,4.337607076545816e-7,5.980862335764327e-7,3.84695265502377e-6
3.815772554518685e-9,1.3294604779274674e-8,2.614370332538489e-8,4.914826212540062e-8,7.164111389132071e-8,1.16198865952532e-7,1.634394705407403e-7,2.4279473857990184e-7,3.482682570229847e-7,4.4888996721630424e-7,6.183738265875111e-7,7.640589977035407e-7,1.0665655119743312e-6,7.418336965079569e-6
5.072340956733106e-9,1.7880999666743824e-8,3.54706381309942e-8,6.747041887936123e-8,9.927448338759061e-8,1.634394705407403e-7,2.3273256522665202e-7,3.511344661874334e-7,5.110616924959479e-7,6.654216577929312e-7,9.279943981525032e-7,1.1554572570364007e-6,1.6310950698764126e-6,1.2161756902752781e-5
7.065316702887859e-9,2.5221586334118912e-8,5.0513081774987e-8,9.737140965753588e-8,1.4484503923553406e-7,2.4279473857990184e-7,3.511344661874334e-7,5.407262839998144e-7,8.029010754916547e-7,1.060357548214273e-6,1.5047560779614665e-6,1.894175781542412e-6,2.716901542664621e-6,2.2312836356219505e-5
9.578310008187671e-9,3.455378994383498e-8,6.977014089522626e-8,1.3606639261020792e-7,2.0438805797081986e-7,3.482682570229847e-7,5.110616924959479e-7,8.029010754916547e-7,1.2167725822189667e-6,1.6310555506255095e-6,2.3579778007147015e-6,3.003186704748724e-6,4.38198043118229e-6,3.9802633763130655e-5
1.18865508440161e-8,4.317614117700402e-8,8.765142178048477e-8,1.7227793204105708e-7,2.604970597005355e-7,4.4888996721630424e-7,6.654216577929312e-7,1.060357548214273e-6,1.6310555506255095e-6,2.210856277730691e-6,3.2415134188088673e-6,4.1656859477357275e-6,6.158600612587196e-6,6.034678217758891e-5
1.5651540967594984e-8,5.7310383033129544e-8,1.1708787123624954e-7,2.322858939391946e-7,3.540261905699419e-7,6.183738265875111e-7,9.279943981525032e-7,1.5047560779614665e-6,2.3579778007147015e-6,3.2415134188088673e-6,4.839548611829222e-6,6.292401919314887e-6,9.464310496549077e-6,0.00010233768392480152
1.88058663881516e-8,6.919964713890131e-8,1.419332181503061e-7,2.832039564538229e-7,4.337607076545816e-7,7.640589977035407e-7,1.1554572570364007e-6,1.894175781542412e-6,3.003186704748724e-6,4.1656859477357275e-6,6.292401919314887e-6,8.24396633311155e-6,1.2540800346989863e-5,0.00014470181510722654
2.5203545338780422e-8,9.340303523847509e-8,1.9267041529365726e-7,3.8769246739008493e-7,5.980862335764327e-7,1.0665655119743312e-6,1.6310950698764126e-6,2.716901542664621e-6,4.38198043118229e-6,6.158600612587196e-6,9.464310496549077e-6,1.2540800346989863e-5,1.9403873628490754e-5,0.000247196931107112
1.3478962939932453e-7,5.229275228954658e-7,1.119415884247579e-6,2.380074434246556e-6,3.84695265502377e-6,7.418336965079569e-6,1.2161756902752781e-5,2.2312836356219505e-5,3.9802633763130655e-5,6.034678217758891e-5,0.00010233768392480152,0.00014470181510722654,0.000247196931107112,0.006068595317459424
3.520901928176404e-10,8.180757498406965e-10,1.3210611204674774e-9,2.085027348408763e-9,2.7468914253782518e-9,3.928856894375809e-9,5.0751740752473465e-9,6.863834634998065e-9,9.089060516496224e-9,1.111577894483473e-8,1.4402117740662095e-8,1.7145142791184404e-8,2.2695279326013775e-8,1.1631588829935321e-7
