x1,x2,x3,x4,x5,x6
4.835289832499692e-7,7.25721100054896e-7,1.0847614283125054e-6,1.5753275558755514e-6,2.2350304591395e-6,9.851652555518537e-6
7.25721100054896e-7,1.1675406672628454e-6,1.8806436469143235e-6,2.917503352456638e-6,4.372074236734981e-6,2.5315852339517122e-5
1.0847614283125054e-6,1.8806436469143235e-6,3.2855537214551367e-6,5.467255041862267e-6,8.662183443374341e-6,6.365246496692577e-5
1.5753275558755514e-6,2.917503352456638e-6,5.467255041862267e-6,9.657188708817133e-6,1.6026899807726642e-5,0.00014147533841417424
2.2350304591395e-6,4.372074236734981e-6,8.662183443374341e-6,1.6026899807726642e-5,2.7567464346765356e-5,0.0002797087695128244
9.851652555518537e-6,2.5315852339517122e-5,6.365246496692577e-5,0.00014147533841417424,0.0002797087695128244,0.005083820481543136
4.4868301310529645e-7,7.122148521316915e-7,1.1152028999488022e-6,1.6753986468918857e-6,2.4358906147821742e-6,1.1711915102163278e-5
7.122148521316915e-7,1.2263626757279497e-6,2.0785199442778404e-6,3.330702702784399e-6,5.093506079085877e-6,3.08455029006994e-5
1.1152028999488022e-6,2.0785199442778404e-6,3.8060930743247265e-6,6.4888419702002005e-6,1.040051723578388e-5,7.645827507015149e-5
1.6753986468918857e-6,3.330702702784399e-6,6.4888419702002005e-6,1.1623586604364937e-5,1.933665485616589e-5,0.0001647995653688382
2.4358906147821742e-6,5.093506079085877e-6,1.040051723578388e-5,1.933665485616589e-5,3.308334181729997e-5,0.00031560597524493434
1.1711915102163278e-5,3.08455029006994e-5,7.645827507015149e-5,0.0001647995653688382,0.00031560597524493434,0.005044623586764921
3.7304978411485537e-7,5.982764594626218e-7,9.461252796713737e-7,1.4331118626973746e-6,2.097556474532062e-6,1.0454078227550104e-5
5.982764594626218e-7,1.0474783209426118e-6,1.8025985041426674e-6,2.9226944401814422e-6,4.5095278410879215e-6,2.8431465216320358e-5
9.461252796713737e-7,1.8025985041426674e-6,3.3653862963852736e-6,5.819552168688022e-6,9.423885789106235e-6,7.222931968877936e-5
1.4331118626973746e-6,2.9226944401814422e-6,5.819552168688022e-6,1.0588211695964375e-5,1.7808557335896075e-5,0.00015837879467622126
2.097556474532062e-6,4.5095278410879215e-6,9.423885789106235e-6,1.7808557335896075e-5,3.081783130108114e-5,0.0003071441302873999
1.0454078227550104e-5,2.8431465216320358e-5,7.222931968877936e-5,0.00015837879467622126,0.0003071441302873999,0.005203340911897793
4.5220920355133323e-7,6.651508911589151e-7,9.791669570040797e-7,1.406750790144393e-6,1.9804812239954807e-6,8.52911359080504e-6
6.651508911589151e-7,1.0541185531880215e-6,1.6867953664412783e-6,2.611932216556936e-6,3.91469587340574e-6,2.307882726898703e-5
9.791669570040797e-7,1.6867953664412783e-6,2.9606796949872623e-6,4.963802908983617e-6,7.919446207916336e-6,6.054213493072522e-5
1.406750790144393e-6,2.611932216556936e-6,4.963802908983617e-6,8.889854831801872e-6,1.4911620430178335e-5,0.00013786204711894234
1.9804812239954807e-6,3.91469587340574e-6,7.919446207916336e-6,1.4911620430178335e-5,2.5968310240397855e-5,0.0002763343817082322
8.52911359080504e-6,2.307882726898703e-5,6.054213493072522e-5,0.00013786204711894234,0.0002763343817082322,0.005327176490027515
