x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
1.3038485029733144e-14,1.815082946291381e-8,1.923414614003002e-7,5.180642308056453e-7,8.053032267803239e-7,1.0604415263331693e-6,1.3217823447690914e-6,1.571667564034068e-6,1.8204502545639185e-6,2.082209157400899e-6,2.3468504723519856e-6,2.6187401773948033e-6,2.9100123355642735e-6,3.2306119847078607e-6,3.5819285488102245e-6,3.973484991808258e-6,4.435431973216708e-6,5.004614218144746e-6,5.731927690086234e-6,6.786168753968551e-6,8.500213273375871e-6,5.7703222112444525e-5
1.4194325191870832e-14,2.008026398306013e-8,2.1359811168310162e-7,5.761922800666765e-7,8.963205368422717e-7,1.1809141402459661e-6,1.4726442705451586e-6,1.7517781612612478e-6,2.0298524968302798e-6,2.32260217122253e-6,2.6187401773948033e-6,2.923147472342294e-6,3.2494176632502457e-6,3.608715205575364e-6,4.002627979782888e-6,4.441869427036875e-6,4.96032513930253e-6,5.599459284462319e-6,6.4166031968278644e-6,7.6017786005788954e-6,9.530110137680975e-6,6.53122871006931e-5
1.5411603839407536e-14,2.2132585322059936e-8,2.3626645917069842e-7,6.382486916748763e-7,9.935472620125226e-7,1.3096679140974744e-6,1.6339547510585488e-6,1.9444523997152414e-6,2.253964900572329e-6,2.5800068639445344e-6,2.9100123355642735e-6,3.2494176632502457e-6,3.613391511918112e-6,4.014419658345298e-6,4.454313124686553e-6,4.945080915360337e-6,5.52466197565608e-6,6.239548088451886e-6,7.1540890210599756e-6,8.481423429792831e-6,1.0642796625416004e-5,7.369717439263924e-5
1.6729086120500484e-14,2.4376338183055696e-8,2.6110872365642164e-7,7.063264345776468e-7,1.1002684005277682e-6,1.4510597639349099e-6,1.811181410151853e-6,2.1562318174386092e-6,2.500409520989782e-6,2.8631942028084276e-6,3.2306119847078607e-6,3.608715205575364e-6,4.014419658345298e-6,4.461683444690894e-6,4.9525766342874546e-6,5.500558739716313e-6,6.148091771173664e-6,6.947295366005303e-6,7.97039380246255e-6,9.456422631224694e-6,1.1878428963591645e-5,8.321449213255649e-5
1.815044222203499e-14,2.681918869585886e-8,2.882170156760813e-7,7.806867238691196e-7,1.2169014184271604e-6,1.605651784223979e-6,2.005040734899112e-6,2.3879867726592124e-6,2.7702162108311086e-6,3.173368954856825e-6,3.5819285488102245e-6,4.002627979782888e-6,4.454313124686553e-6,4.9525766342874546e-6,5.499789396118335e-6,6.111030089843911e-6,6.833789760910811e-6,7.726467036439201e-6,8.870094329700972e-6,1.0532624886978711e-5,1.3245119984403133e-5,9.399905956747041e-5
1.9710804149573243e-14,2.952491624677094e-8,3.183077942173253e-7,8.633053988006162e-7,1.3465548909941956e-6,1.7775749397117003e-6,2.2207270864366675e-6,2.6459437379155834e-6,3.0706537962049267e-6,3.518912558702458e-6,3.973484991808258e-6,4.441869427036875e-6,4.945080915360337e-6,5.500558739716313e-6,6.111030089843911e-6,6.793414737850632e-6,7.600895522995822e-6,8.599004301693335e-6,9.878808371755813e-6,1.174114328126885e-5,1.4783254410281842e-5,0.00010646362727154752
2.1524026100088892e-14,3.269733393054661e-8,3.536644410816262e-7,9.604718497715678e-7,1.499116606326361e-6,1.9799604610135116e-6,2.474740162646145e-6,2.949866476459058e-6,3.424776926032239e-6,3.926385860842227e-6,4.435431973216708e-6,4.96032513930253e-6,5.52466197565608e-6,6.148091771173664e-6,6.833789760910811e-6,7.600895522995822e-6,8.509419316250394e-6,9.633485452763648e-6,1.1076287760647805e-5,1.3178311690339408e-5,1.6616907670694595e-5,0.00012177463314988186
2.3723940714867064e-14,3.6581281838600055e-8,3.970463428132799e-7,1.0798059325484586e-6,1.6865829614440286e-6,2.2287584040417486e-6,2.78714552107e-6,3.3238178535411513e-6,3.860687967282556e-6,4.428205363841231e-6,5.004614218144746e-6,5.599459284462319e-6,6.239548088451886e-6,6.947295366005303e-6,7.726467036439201e-6,8.599004301693335e-6,9.633485452763648e-6,1.0914871085004007e-5,1.256170648448544e-5,1.4964544116495806e-5,1.890233321585451e-5,0.00014153304730895285
2.6489409339545848e-14,4.151101443451729e-8,4.5223596998972107e-7,1.231770583875309e-6,1.9254423180602035e-6,2.545908788279625e-6,3.1855670823116953e-6,3.8009515165860752e-6,4.417137753016807e-6,5.0691097736708595e-6,5.731927690086234e-6,6.4166031968278644e-6,7.1540890210599756e-6,7.97039380246255e-6,8.870094329700972e-6,9.878808371755813e-6,1.1076287760647805e-5,1.256170648448544e-5,1.4473839876284922e-5,1.7269026141616937e-5,2.186041863871582e-5,0.0001681740771909469
3.042584820842829e-14,4.8603520826971695e-8,5.31840402476333e-7,1.4512009166337777e-6,2.270556640999692e-6,3.0043752511628786e-6,3.761821738289452e-6,4.491406679440516e-6,5.2227917081822275e-6,5.997561936628621e-6,6.786168753968551e-6,7.6017786005788954e-6,8.481423429792831e-6,9.456422631224694e-6,1.0532624886978711e-5,1.174114328126885e-5,1.3178311690339408e-5,1.4964544116495806e-5,1.7269026141616937e-5,2.0646665995176056e-5,2.621305192962254e-5,0.00020940073531885658
3.668971859528139e-14,6.003380800570999e-8,6.60514781605997e-7,1.806348091498527e-6,2.8295265862184988e-6,3.7473850394205886e-6,4.696307243259915e-6,5.611769648470247e-6,6.530892709380509e-6,7.5060497270393035e-6,8.500213273375871e-6,9.530110137680975e-6,1.0642796625416004e-5,1.1878428963591645e-5,1.3245119984403133e-5,1.4783254410281842e-5,1.6616907670694595e-5,1.890233321585451e-5,2.186041863871582e-5,2.621305192962254e-5,3.34218449387512e-5,0.0002822793252830253
1.7410944650174811e-13,3.5718598517798675e-7,4.125335221297582e-6,1.1510015124593203e-5,1.822614795475175e-5,2.4350022626704613e-5,3.0786140780576066e-5,3.709924843718942e-5,4.354145044635346e-5,5.049182220059412e-5,5.7703222112444525e-5,6.53122871006931e-5,7.369717439263924e-5,8.321449213255649e-5,9.399905956747041e-5,0.00010646362727154752,0.00012177463314988186,0.00014153304730895285,0.0001681740771909469,0.00020940073531885658,0.0002822793252830253,0.004680059179309207
1.7524111821505197e-11,3.4262670101932254e-10,9.611986977430724e-10,1.6557187159000322e-9,2.1559581099654583e-9,2.558809004290595e-9,2.9452773315465563e-9,3.296715257953577e-9,3.6329757579953565e-9,3.97492152458662e-9,4.310403337276689e-9,4.646057597007062e-9,4.997002052325864e-9,5.374429935611833e-9,5.778873840386055e-9,6.219973764903232e-9,6.729183668618953e-9,7.342558207434829e-9,8.107695110156909e-9,9.187115005937603e-9,1.0885908090694249e-8,4.1932140388983866e-8
3.4262670101932254e-10,1.2031611580130253e-8,3.98355664849627e-8,7.376462513557223e-8,9.911782178562086e-8,1.1991417201199082e-7,1.401150456310464e-7,1.5866249474501525e-7,1.765450171086397e-7,1.9484932785708757e-7,2.1291124346193328e-7,2.310740830260744e-7,2.50152280423426e-7,2.7076044066269135e-7,2.929369944047181e-7,3.172220625909465e-7,3.453710017130221e-7,3.79421384145065e-7,4.220873462556703e-7,4.825830293599624e-7,5.783721947068146e-7,2.5224854565001176e-6
9.611986977430724e-10,3.98355664849627e-8,1.4293974248543614e-7,2.7588533793706767e-7,3.7778994246855184e-7,4.6246011289473865e-7,5.454264370657713e-7,6.221164793620416e-7,6.964528496301998e-7,7.728908846758681e-7,8.486194774296192e-7,9.25039387668355e-7,1.0055683977816964e-6,1.0928200089571778e-6,1.186985546634194e-6,1.2903934191811737e-6,1.410588468240562e-6,1.5564025755887749e-6,1.7396702229596102e-6,2.0004151330131016e-6,2.4149772829215707e-6,1.137824671463458e-5
1.6557187159000322e-9,7.376462513557223e-8,2.7588533793706767e-7,5.452146683002655e-7,7.550059763971105e-7,9.307577932372573e-7,1.1039412917504105e-6,1.2647184435334e-6,1.4210972746481533e-6,1.5823702692206658e-6,1.7425582064176176e-6,1.904573572353691e-6,2.075651647050382e-6,2.261372155189036e-6,2.462182467880265e-6,2.6830966791243585e-6,2.9403300870618076e-6,3.2529643444173614e-6,3.6466629512847315e-6,4.208013111728039e-6,5.102820014778206e-6,2.518596664993006e-5
2.1559581099654583e-9,9.911782178562086e-8,3.7778994246855184e-7,7.550059763971105e-7,1.0512141987871173e-6,1.3004207557147676e-6,1.5467085868746508e-6,1.775876552143889e-6,1.999181674330832e-6,2.2298357583115003e-6,2.4592526552603646e-6,2.691566481159681e-6,2.937144957119521e-6,3.204019776945919e-6,3.4928655876726833e-6,3.8109330330577385e-6,4.181644109915637e-6,4.63263832692023e-6,5.201161566675336e-6,6.012721555916589e-6,7.308153938600738e-6,3.694715390972837e-5
2.558809004290595e-9,1.1991417201199082e-7,4.6246011289473865e-7,9.307577932372573e-7,1.3004207557147676e-6,1.6123194532763442e-6,1.921188797332017e-6,2.2090458597131005e-6,2.48989734710192e-6,2.780311759954995e-6,3.069449531547291e-6,3.36248926471762e-6,3.6725036501066176e-6,4.009652662428621e-6,4.374818160524788e-6,4.777202100285709e-6,5.2465047641466345e-6,5.817844557506993e-6,6.538611808131304e-6,7.5683543065843e-6,9.213684613263647e-6,4.7370211507893606e-5
2.9452773315465563e-9,1.401150456310464e-7,5.454264370657713e-7,1.1039412917504105e-6,1.5467085868746508e-6,1.921188797332017e-6,2.292676397845632e-6,2.6393727570075744e-6,2.9780127608234874e-6,3.3285262310720553e-6,3.677801777601317e-6,4.0320625406775315e-6,4.4071080539148015e-6,4.8152533356590985e-6,5.257599172937967e-6,5.745332198404907e-6,6.314529348000635e-6,7.007926025177447e-6,7.883264238107054e-6,9.134783934899583e-6,1.1136273571811658e-5,5.81159231773285e-5
3.296715257953577e-9,1.5866249474501525e-7,6.221164793620416e-7,1.2647184435334e-6,1.775876552143889e-6,2.2090458597131005e-6,2.6393727570075744e-6,3.0414521644013485e-6,3.4345660912191927e-6,3.841806589638734e-6,4.247914120117288e-6,4.660093405464209e-6,5.09672415523697e-6,5.572169064630489e-6,6.087745505022486e-6,6.656533866525245e-6,7.320686815215449e-6,8.130216344351703e-6,9.152771778995036e-6,1.061575621599856e-5,1.295730117287843e-5,6.850155732613321e-5
3.6329757579953565e-9,1.765450171086397e-7,6.964528496301998e-7,1.4210972746481533e-6,1.999181674330832e-6,2.48989734710192e-6,2.9780127608234874e-6,3.4345660912191927e-6,3.881329711247502e-6,4.344506494932018e-6,4.8067166517406435e-6,5.276129694556867e-6,5.773676151597879e-6,6.315751161773063e-6,6.903895669312641e-6,7.553077397837556e-6,8.311494751459111e-6,9.23641893244394e-6,1.040540077785875e-5,1.2078948070040863e-5,1.475954770260591e-5,7.898098351398543e-5
3.97492152458662e-9,1.9484932785708757e-7,7.728908846758681e-7,1.5823702692206658e-6,2.2298357583115003e-6,2.780311759954995e-6,3.3285262310720553e-6,3.841806589638734e-6,4.344506494932018e-6,4.866071119437048e-6,5.386907125589861e-6,5.916189243273279e-6,6.477518306229613e-6,7.089425838111944e-6,7.753697591338527e-6,8.487293361629367e-6,9.34478169353994e-6,1.0391102858233845e-5,1.1714288056099852e-5,1.360984169906022e-5,1.6648424313657392e-5,9.01849206426059e-5
4.310403337276689e-9,2.1291124346193328e-7,8.486194774296192e-7,1.7425582064176176e-6,2.4592526552603646e-6,3.069449531547291e-6,3.677801777601317e-6,4.247914120117288e-6,4.8067166517406435e-6,5.386907125589861e-6,5.966671285506716e-6,6.556192642661658e-6,7.1817621192912446e-6,7.86407232665458e-6,8.605167475463862e-6,9.424031123134933e-6,1.0381690320684634e-5,1.1550882463790402e-5,1.3030315438660154e-5,1.5151098989616445e-5,1.8553404786305783e-5,0.00010172011465230913
4.646057597007062e-9,2.310740830260744e-7,9.25039387668355e-7,1.904573572353691e-6,2.691566481159681e-6,3.36248926471762e-6,4.0320625406775315e-6,4.660093405464209e-6,5.276129694556867e-6,5.916189243273279e-6,6.556192642661658e-6,7.2073547386381145e-6,7.89872349446625e-6,8.653215655208423e-6,9.473153307750128e-6,1.0379611765129936e-5,1.144027869370772e-5,1.2735955592013046e-5,1.4376415432144866e-5,1.6729618240510143e-5,2.050784048487319e-5,0.00011380593508965043
4.997002052325864e-9,2.50152280423426e-7,1.0055683977816964e-6,2.075651647050382e-6,2.937144957119521e-6,3.6725036501066176e-6,4.4071080539148015e-6,5.09672415523697e-6,5.773676151597879e-6,6.477518306229613e-6,7.1817621192912446e-6,7.89872349446625e-6,8.660399593079535e-6,9.49209617080264e-6,1.0396447670934753e-5,1.1396786223978961e-5,1.25679677091086e-5,1.3999498143284354e-5,1.581312014055451e-5,1.8416599363115628e-5,2.2600285977919724e-5,0.00012702980804134802
5.374429935611833e-9,2.7076044066269135e-7,1.0928200089571778e-6,2.261372155189036e-6,3.204019776945919e-6,4.009652662428621e-6,4.8152533356590985e-6,5.572169064630489e-6,6.315751161773063e-6,7.089425838111944e-6,7.86407232665458e-6,8.653215655208423e-6,9.49209617080264e-6,1.0408658629255265e-5,1.1405899433391212e-5,1.25096553134232e-5,1.3802714418232322e-5,1.5384245637866093e-5,1.738930980300038e-5,2.02698946825675e-5,2.4903310185785923e-5,0.00014192443813789554
5.778873840386055e-9,2.929369944047181e-7,1.186985546634194e-6,2.462182467880265e-6,3.4928655876726833e-6,4.374818160524788e-6,5.257599172937967e-6,6.087745505022486e-6,6.903895669312641e-6,7.753697591338527e-6,8.605167475463862e-6,9.473153307750128e-6,1.0396447670934753e-5,1.1405899433391212e-5,1.2504923932251166e-5,1.372212818465726e-5,1.5149045138755662e-5,1.6895532078710376e-5,1.911141817844185e-5,2.2297646715497784e-5,2.7428062589063715e-5,0.0001586579135819794
