x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
5.303575973164342e-9,2.7074851990173925e-7,1.0927603734104058e-6,2.2613155486270957e-6,3.2039520365834204e-6,4.009580604159722e-6,4.815180589345194e-6,6.315674965748748e-6,7.089343077591107e-6,8.653123096113101e-6,1.0408565099775794e-5,1.1405801895360603e-5,1.3802606057667384e-5,1.5384138038231477e-5,1.738920394833487e-5,2.0269771989511567e-5,2.490317575585724e-5,0.00014192427669218794
5.703309309246906e-9,2.929268716166902e-7,1.1869232291568306e-6,2.462124494832996e-6,3.4927949958270396e-6,4.374743804589556e-6,5.257524547210173e-6,6.903816732590196e-6,7.753611253018631e-6,9.473056858557146e-6,1.1405801895360603e-5,1.2504822956293897e-5,1.5148931609340211e-5,1.6895419401704043e-5,1.9111308250455957e-5,2.2297518626017915e-5,2.7427918732981348e-5,0.00015865763741563645
6.642643782521325e-9,3.453651767022629e-7,1.410519765109678e-6,2.9402686320788352e-6,4.181566075475173e-6,5.246424538491465e-6,6.314449707306546e-6,8.311407588911382e-6,9.344685224572634e-6,1.1440170469108107e-5,1.3802606057667384e-5,1.5148931609340211e-5,1.839567976001473e-5,2.0545365392465932e-5,2.3277782297415592e-5,2.7214879204686357e-5,3.357033605311453e-5,0.00020107601499595712
7.248994639408127e-9,3.7941849996307366e-7,1.5563302995648163e-6,3.252901853471033e-6,4.632557086765205e-6,5.817762985379335e-6,7.007846146403723e-6,9.236330081979493e-6,1.0391004136075913e-5,1.2735845799854373e-5,1.5384138038231477e-5,1.6895419401704043e-5,2.0545365392465932e-5,2.296569041212604e-5,2.6045708044218775e-5,3.0489628240858505e-5,3.767497833648284e-5,0.00023069591936209134
8.005424166284035e-9,4.2208820183629313e-7,1.7395936275650691e-6,3.646599401885072e-6,5.201076500082745e-6,6.538529127403304e-6,7.883184710732412e-6,1.0405310088385158e-5,1.1714186980545539e-5,1.4376304885484353e-5,1.738920394833487e-5,1.9111308250455957e-5,2.3277782297415592e-5,2.6045708044218775e-5,2.9573097134146114e-5,3.467090308275312e-5,4.293017852845155e-5,0.00026998593699820557
9.072642772042265e-9,4.825890084697818e-7,2.000331388836151e-6,4.2079455364524105e-6,6.012626957792244e-6,7.568265220710113e-6,9.134698781918116e-6,1.2078845428610284e-5,1.3609726534117817e-5,1.6729492507111573e-5,2.0269771989511567e-5,2.2297518626017915e-5,2.7214879204686357e-5,3.0489628240858505e-5,3.467090308275312e-5,4.072723541483616e-5,5.056652392169745e-5,0.00032954090856103724
1.075239857380268e-8,5.783865029766244e-7,2.414883157522408e-6,5.102747843517851e-6,7.308046426344107e-6,9.213589281018873e-6,1.113618412129065e-5,1.4759430707175519e-5,1.6648292656863062e-5,2.0507699805323934e-5,2.490317575585724e-5,2.7427918732981348e-5,3.357033605311453e-5,3.767497833648284e-5,4.293017852845155e-5,5.056652392169745e-5,6.302239056918499e-5,0.0004319840085889696
4.150665157104572e-8,2.5227335271926964e-6,1.1378056189576436e-5,2.5185930186385966e-5,3.694679588998863e-5,4.737031790002609e-5,5.811607720027524e-5,7.898047660548933e-5,9.01844843461738e-5,0.00011380583146646721,0.00014192427669218794,0.00015865763741563645,0.00020107601499595712,0.00023069591936209134,0.00026998593699820557,0.00032954090856103724,0.0004319840085889696,0.005433668289690748
6.303347981831433e-10,6.300991418970054e-9,1.5530463509885174e-8,2.5370140691512143e-8,3.229638787753419e-8,3.780903907191008e-8,4.305398424647122e-8,5.229957581965859e-8,5.686080993639399e-8,6.575359171700418e-8,7.532694242951566e-8,8.061203677213876e-8,9.2955395814797e-8,1.0087330672523958e-7,1.1070348625194984e-7,1.2449475003683055e-7,1.460490151104681e-7,4.894264710597504e-7
6.300991418970054e-9,9.182445611956881e-8,2.5472152247010615e-7,4.391689768600477e-7,5.726117001334172e-7,6.803043398468937e-7,7.837395258950303e-7,9.679247349608174e-7,1.059512211015997e-6,1.2391949021187058e-6,1.4340081499948844e-6,1.5420712733906106e-6,1.7956416899742198e-6,1.9590499256669698e-6,2.16261102518662e-6,2.449291247388616e-6,2.899422159796248e-6,1.0783834560287085e-5
1.5530463509885174e-8,2.5472152247010615e-7,7.384342055533541e-7,1.3005495345753984e-6,1.7121604168421999e-6,2.046388849567322e-6,2.3687479177473773e-6,2.9453389581378856e-6,3.2330537997212704e-6,3.7990677756076223e-6,4.414659972743606e-6,4.756842083628043e-6,5.561420225534293e-6,6.080951546926548e-6,6.729092215980924e-6,7.643392715194502e-6,9.081842692356047e-6,3.523353334740373e-5
2.5370140691512143e-8,4.391689768600477e-7,1.3005495345753984e-6,2.3157180079178025e-6,3.06429940269441e-6,3.6743789347497143e-6,4.264279786957673e-6,5.322290483838006e-6,5.851357652156197e-6,6.8939408999561905e-6,8.030027578725803e-6,8.662344292303835e-6,1.0151005292504234e-5,1.111345058191081e-5,1.2315236758464098e-5,1.401226764886245e-5,1.6685453641228962e-5,6.636411356904759e-5
3.229638787753419e-8,5.726117001334172e-7,1.7121604168421999e-6,3.06429940269441e-6,4.065016478618604e-6,4.8822299308781415e-6,5.673540889214085e-6,7.0950121731712004e-6,7.806712629084426e-6,9.210588279576367e-6,1.074210746666615e-5,1.159516313047368e-5,1.3605025288447329e-5,1.490539501144233e-5,1.6530020746135305e-5,1.8825539628595115e-5,2.24441325513625e-5,9.055494077647448e-5
3.780903907191008e-8,6.803043398468937e-7,2.046388849567322e-6,3.6743789347497143e-6,4.8822299308781415e-6,5.870008945990467e-6,6.827477242914615e-6,8.549438616972552e-6,9.412398279174876e-6,1.1115939411469383e-5,1.2976000468823848e-5,1.4012668623096384e-5,1.645657358594662e-5,1.803867895386203e-5,2.0016132663534976e-5,2.2811519070083227e-5,2.722063610489438e-5,0.00011102891744467269
4.305398424647122e-8,7.837395258950303e-7,2.3687479177473773e-6,4.264279786957673e-6,5.673540889214085e-6,6.827477242914615e-6,7.947058329887782e-6,9.96275738547958e-6,1.0973818622117774e-5,1.2971175825538762e-5,1.5153893059186017e-5,1.637108775272542e-5,1.9242224966135194e-5,2.110195582552491e-5,2.3427378506345e-5,2.6716210772036194e-5,3.1906579841305154e-5,0.00013150448998268673
5.229957581965859e-8,9.679247349608174e-7,2.9453389581378856e-6,5.322290483838006e-6,7.0950121731712004e-6,8.549438616972552e-6,9.96275738547958e-6,1.251205925462741e-5,1.3792782854932873e-5,1.6326207596773647e-5,1.909905885262943e-5,2.064700194864816e-5,2.4302253215448665e-5,2.6672403580997666e-5,2.963839913955166e-5,3.3836940503274225e-5,4.047016303307068e-5,0.00017002086524522817
5.686080993639399e-8,1.059512211015997e-6,3.2330537997212704e-6,5.851357652156197e-6,7.806712629084426e-6,9.412398279174876e-6,1.0973818622117774e-5,1.3792782854932873e-5,1.5210080109809777e-5,1.8015544405354692e-5,2.1088610051948165e-5,2.2805105921249103e-5,2.6860665360272853e-5,2.9491861800388643e-5,3.278590497193633e-5,3.745102824181717e-5,4.482563381499939e-5,0.0001901862001324636
6.575359171700418e-8,1.2391949021187058e-6,3.7990677756076223e-6,6.8939408999561905e-6,9.210588279576367e-6,1.1115939411469383e-5,1.2971175825538762e-5,1.6326207596773647e-5,1.8015544405354692e-5,2.136392072608792e-5,2.5037589658712473e-5,2.709188373978648e-5,3.195117526426994e-5,3.5107459703440375e-5,3.906227357981228e-5,4.4668688080436805e-5,5.354182272033436e-5,0.0002317364243236701
7.532694242951566e-8,1.4340081499948844e-6,4.414659972743606e-6,8.030027578725803e-6,1.074210746666615e-5,1.2976000468823848e-5,1.5153893059186017e-5,1.909905885262943e-5,2.1088610051948165e-5,2.5037589658712473e-5,2.9377810318982595e-5,3.180788088508149e-5,3.756349850087256e-5,4.1306840879409635e-5,4.6001814246005475e-5,5.266490336450592e-5,6.322469132685223e-5,0.00027974080779531545
8.061203677213876e-8,1.5420712733906106e-6,4.756842083628043e-6,8.662344292303835e-6,1.159516313047368e-5,1.4012668623096384e-5,1.637108775272542e-5,2.064700194864816e-5,2.2805105921249103e-5,2.709188373978648e-5,3.180788088508149e-5,3.4450179080480544e-5,4.071298983053391e-5,4.47891757993926e-5,4.9904422503957054e-5,5.7168532376908066e-5,6.868965574170192e-5,0.00030766113079427833
