x1,x2,x3,x4
9.061748692836213e-6,1.6684836226792565e-5,2.7635146482868098e-5,0.00016530323161773966
1.6684836226792565e-5,3.1817999912741254e-5,5.428188465841044e-5,0.00037477073688193776
2.7635146482868098e-5,5.428188465841044e-5,9.510578457125346e-5,0.0007529741341464158
0.00016530323161773966,0.00037477073688193776,0.0007529741341464158,0.013721670062477686
1.0788960373760756e-5,1.977743617424083e-5,3.2593050152793266e-5,0.0001848255214692188
1.977743617424083e-5,3.752506955246885e-5,6.363937402802127e-5,0.00041403342721687907
3.2593050152793266e-5,6.363937402802127e-5,0.00011069571724232139,0.0008178896189928197
0.0001848255214692188,0.00041403342721687907,0.0008178896189928197,0.012498425027019627
9.680433986424001e-6,1.7723676112699294e-5,2.920454331654198e-5,0.0001663886232820807
1.7723676112699294e-5,3.363144979320589e-5,5.710779812317434e-5,0.0003760100217130479
2.920454331654198e-5,5.710779812317434e-5,9.961290861782784e-5,0.0007507997435711214
0.0001663886232820807,0.0003760100217130479,0.0007507997435711214,0.01213859893660718
8.213503252128302e-6,1.4960347626958985e-5,2.460246328384646e-5,0.0001419084392594089
1.4960347626958985e-5,2.8268379811960756e-5,4.79806782150404e-5,0.00032345489597209386
2.460246328384646e-5,4.79806782150404e-5,8.38457176048923e-5,0.0006568296933837393
0.0001419084392594089,0.00032345489597209386,0.0006568296933837393,0.012174477328874715
4.084305094096331e-6,7.467080884868804e-6,1.2366604596722138e-5,7.743733014687041e-5
7.467080884868804e-6,1.4228434249482325e-5,2.4463483398523944e-5,0.0001849964252992502
1.2366604596722138e-5,2.4463483398523944e-5,4.365189424455206e-5,0.0004022366984870481
7.743733014687041e-5,0.0001849964252992502,0.0004022366984870481,0.011817145910215326
2.5801928415984254e-6,4.714936864464038e-6,7.82217454315506e-6,5.122203893502059e-5
4.714936864464038e-6,8.959197458599081e-6,1.5415928415740815e-5,0.00012216730013398294
7.82217454315506e-6,1.5415928415740815e-5,2.7570986235845207e-5,0.00027318755744447126
5.122203893502059e-5,0.00012216730013398294,0.00027318755744447126,0.011544380684507177
1.6908746995451356e-6,3.210652253554098e-6,5.472774486530547e-6,4.1193800956106164e-5
3.210652253554098e-6,6.3144547352405075e-6,1.1104898519998455e-5,9.758040060463822e-5
5.472774486530547e-6,1.1104898519998455e-5,2.017629904590751e-5,0.00021652737592523183
4.1193800956106164e-5,9.758040060463822e-5,0.00021652737592523183,0.012570503713739231
1.9621825651093284e-6,3.7416305462781046e-6,6.394217146070616e-6,4.8248355008111236e-5
3.7416305462781046e-6,7.395377067897578e-6,1.3042678772916312e-5,0.0001147060778009876
6.394217146070616e-6,1.3042678772916312e-5,2.3750930466766296e-5,0.00025236745455791125
4.8248355008111236e-5,0.0001147060778009876,0.00025236745455791125,0.012894830363297322
3.5443428432974434e-6,6.5658896722485744e-6,1.098378557783216e-5,7.391490099756037e-5
6.5658896722485744e-6,1.2605037820572807e-5,2.1767694574050222e-5,0.00017184910791545258
1.098378557783216e-5,2.1767694574050222e-5,3.880419292224594e-5,0.00036686687109847724
7.391490099756037e-5,0.00017184910791545258,0.00036686687109847724,0.01275041281767673
6.559156321859579e-6,1.18273304500529e-5,1.9362492644165278e-5,0.00011409872704270872
1.18273304500529e-5,2.206495299571324e-5,3.72431796809624e-5,0.00025729026797101725
1.9362492644165278e-5,3.72431796809624e-5,6.47729911990665e-5,0.0005286592917012337
0.00011409872704270872,0.00025729026797101725,0.0005286592917012337,0.01236949501929119
7.71254013790875e-6,1.3941263941782597e-5,2.2821554103809416e-5,0.00012969682128957956
1.3941263941782597e-5,2.6122595505475852e-5,4.413343576853214e-5,0.0002939424523142539
2.2821554103809416e-5,4.413343576853214e-5,7.68203652894561e-5,0.0005985738108017285
0.00012969682128957956,0.0002939424523142539,0.0005985738108017285,0.011457985167568569
6.653610350928055e-6,1.2157043877255764e-5,2.0045582540431538e-5,0.00011561283492682126
1.2157043877255764e-5,2.3138438270185888e-5,3.9524991261196054e-5,0.00027027796066328555
2.0045582540431538e-5,3.9524991261196054e-5,6.976084604634145e-5,0.0005611315639361761
0.00011561283492682126,0.00027027796066328555,0.0005611315639361761,0.010630565409074895
5.204972534418105e-6,9.54804422095793e-6,1.580577591299143e-5,9.334847609575397e-5
9.54804422095793e-6,1.8333520454975763e-5,3.158386622656006e-5,0.0002256073905909263
1.580577591299143e-5,3.158386622656006e-5,5.64741515824259e-5,0.0004833085391981741
9.334847609575397e-5,0.0002256073905909263,0.0004833085391981741,0.010297630597208089
4.2074248097899135e-6,7.727310095372466e-6,1.2825511664676206e-5,7.847948195449749e-5
7.727310095372466e-6,1.4868529696371594e-5,2.572233877827506e-5,0.00019228229524542243
1.2825511664676206e-5,2.572233877827506e-5,4.630510501554841e-5,0.00042147516526622463
7.847948195449749e-5,0.00019228229524542243,0.00042147516526622463,0.010674288901101437
3.599409896259875e-6,6.648667401037517e-6,1.1094030800176653e-5,7.12066554061617e-5
6.648667401037517e-6,1.2835874033051101e-5,2.2282476654259792e-5,0.0001734626770138337
1.1094030800176653e-5,2.2282476654259792e-5,4.021257374060811e-5,0.00038224232305822213
7.12066554061617e-5,0.0001734626770138337,0.00038224232305822213,0.011348737126663417
3.4208367079964324e-6,6.394889643259475e-6,1.0762656188997512e-5,7.252698589340271e-5
6.394889643259475e-6,1.2458645066921135e-5,2.1746041927711304e-5,0.00017466552724238005
1.0762656188997512e-5,2.1746041927711304e-5,3.933119554983798e-5,0.0003808917194203547
7.252698589340271e-5,0.00017466552724238005,0.0003808917194203547,0.012077790931201069
4.224554926782518e-6,7.834441837382152e-6,1.310199254934077e-5,8.53831294215078e-5
7.834441837382152e-6,1.5090448132468133e-5,2.609388120839038e-5,0.00020017500131984481
1.310199254934077e-5,2.609388120839038e-5,4.66108890980074e-5,0.0004254099992792248
8.53831294215078e-5,0.00020017500131984481,0.0004254099992792248,0.012002358537237743
5.989054000915323e-6,1.0899849737280177e-5,1.79666000413461e-5,0.00010852349795449211
1.0899849737280177e-5,2.0523047222853825e-5,3.486536754726229e-5,0.00024525922399532045
1.79666000413461e-5,3.486536754726229e-5,6.0997706886060346e-5,0.0005039913150804659
0.00010852349795449211,0.00024525922399532045,0.0005039913150804659,0.011708707815188152
2.475165370497137e-6,4.7741466076702774e-6,8.212024170434014e-6,5.9609583050785405e-5
4.7741466076702774e-6,9.591776392277361e-6,1.708681674208615e-5,0.00014526213733349953
8.212024170434014e-6,1.708681674208615e-5,3.149002761686653e-5,0.0003189867637324614
5.9609583050785405e-5,0.00014526213733349953,0.0003189867637324614,0.01067627756342218
2.18271455391641e-6,4.247971532806194e-6,7.3526693266152464e-6,5.429538261232124e-5
4.247971532806194e-6,8.626510879966232e-6,1.5484384965708806e-5,0.0001342994036633825
7.3526693266152464e-6,1.5484384965708806e-5,2.8791747724780654e-5,0.0002985502716880289
5.429538261232124e-5,0.0001342994036633825,0.0002985502716880289,0.01017632679637601
6.458803792826494e-6,1.1698572179582865e-5,1.9201562956325685e-5,0.00011113276539996934
1.1698572179582865e-5,2.1947345713904273e-5,3.716691473304617e-5,0.00025151870981423793
1.9201562956325685e-5,3.716691473304617e-5,6.487425779767248e-5,0.0005156065506801928
0.00011113276539996934,0.00025151870981423793,0.0005156065506801928,0.010515502981527446
8.790427154114457e-6,1.5843820324627136e-5,2.5786377466812246e-5,0.00013437927563353743
1.5843820324627136e-5,2.9732612869575882e-5,5.007799626030436e-5,0.00030769466822079127
2.5786377466812246e-5,5.007799626030436e-5,8.696765097276922e-5,0.0006196022072174125
0.00013437927563353743,0.00030769466822079127,0.0006196022072174125,0.008976345177715783
