x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
7.554081674936619e-10,1.962554590007203e-9,3.3446237210957566e-9,5.5148680252369415e-9,1.0887159766847375e-8,1.9484649929979895e-8,3.1721207763151685e-8,4.855330728950299e-8,6.364271508968984e-8,2.699988581219513e-7
1.962554590007203e-9,5.675399009135059e-9,1.0268597851674431e-8,1.7844647420837e-8,3.751398320222049e-8,7.020584721809255e-8,1.1785018975651616e-7,1.8437294990937053e-7,2.445313479568424e-7,1.1229685916838402e-6
3.3446237210957566e-9,1.0268597851674431e-8,1.9284666421985064e-8,3.470207114150589e-8,7.619034556602395e-8,1.4712328782631436e-7,2.523140069717155e-7,4.0077415184308406e-7,5.358665169598407e-7,2.5960259321232427e-6
5.5148680252369415e-9,1.7844647420837e-8,3.470207114150589e-8,6.469473375110269e-8,1.4901061078308611e-7,2.983824753765209e-7,5.248005474352135e-7,8.486576880606655e-7,1.1456091729127092e-6,5.907588495914841e-6
1.0887159766847375e-8,3.751398320222049e-8,7.619034556602395e-8,1.4901061078308611e-7,3.7011835358682246e-7,7.905406440240252e-7,1.456948491858531e-6,2.4361148417127043e-6,3.3475495170058306e-6,1.935981698087857e-5
1.9484649929979895e-8,7.020584721809255e-8,1.4712328782631436e-7,2.983824753765209e-7,7.905406440240252e-7,1.7985625188099662e-6,3.4796975132329443e-6,6.026078337186512e-6,8.436220186273198e-6,5.4852819027583075e-5
3.1721207763151685e-8,1.1785018975651616e-7,2.523140069717155e-7,5.248005474352135e-7,1.456948491858531e-6,3.4796975132329443e-6,7.003965100875896e-6,1.2490194239910225e-5,1.7761579723201618e-5,0.00012747259260668725
4.855330728950299e-8,1.8437294990937053e-7,4.0077415184308406e-7,8.486576880606655e-7,2.4361148417127043e-6,6.026078337186512e-6,1.2490194239910225e-5,2.277663643308866e-5,3.278436701645177e-5,0.0002546655181695155
6.364271508968984e-8,2.445313479568424e-7,5.358665169598407e-7,1.1456091729127092e-6,3.3475495170058306e-6,8.436220186273198e-6,1.7761579723201618e-5,3.278436701645177e-5,4.75062398240833e-5,0.00038628452328695134
2.699988581219513e-7,1.1229685916838402e-6,2.5960259321232427e-6,5.907588495914841e-6,1.935981698087857e-5,5.4852819027583075e-5,0.00012747259260668725,0.0002546655181695155,0.00038628452328695134,0.004594508177817946
