x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
3.497271123702885e-11,1.0833815538638172e-10,3.223390511682512e-10,9.219625748452294e-10,2.537301490686965e-9,6.724791158278114e-9,1.717999385807849e-8,4.234422740789395e-8,1.0078176501712356e-7,2.3183327758365976e-7,5.158995984808598e-7,1.1115774684017883e-6,2.3210737596583613e-6,4.701130867564304e-6,9.2442027837387e-6,1.766362519916687e-5,3.2826380833695756e-5,5.9386602877062044e-5,0.00010468050508813475,0.00017994696018426215,0.00030193546597631323,0.0004949532544548025,0.0007933854117607622,0.0012446972775184309,0.0019129001534992252,0.002882434377779752,0.004262404396028095,0.006191095450190709,0.008840717350307954,0.01242236255591547,0.01719123647022829,0.023452318224900997,0.03156673934533029,0.04195932395660341,0.05512791708983467,0.07165533976012635,0.09222505880272826,0.11764196185065107,0.14886000982809933,0.18701904140631836,0.23349368500454776,0.28995827823652054,0.358473021614124,0.4415984732693965,0.5425481703410702,0.6653929996908907,0.815336467002341,0.9990880238573864,1.2253733089680152,1.5056373783697798,1.8550225727099483,2.2937410117407375,2.847133191613961,3.5108755627752086,4.219981514782886,4.849867074915123,5.227692263566215,5.214531353202534,4.867376326122463,4.327343508885066,3.7296413163863917,3.171656305378989,2.6937071605707605,2.2877820193203915,1.9430273062112215,1.6502250130473284,1.401546228908745,1.1903418117150957,1.0109646043002067,0.8586184414334422,0.7292299105564654,0.6193394373901446,0.5260087842722124,0.4467424879278868,0.3794211360864174,0.32224469890212404,0.27368439998258165,0.23244184015755118,0.19741428104512798,0.1676651601714602,0.14239904928101538,0.12094038627584039,0.10271541212108029,0.08723682974800413,0.07409077476621839,0.06292574960960334,0.053443225238560946,0.04538965910806828,0.03854971597897,0.032740510311413555,0.027806716294266655,0.023616414763098163,0.020057565962136918,0.01703501383936129,0.01446794177593792,0.012287711721622975,0.01043602895920022,0.008863383427657471,0.007527725928396966,0.006393343819047277,0.005429906133319382
8.158878363345278e-9,1.8074313052532438e-8,3.899320144294381e-8,8.197390167880753e-8,1.680296055682886e-7,3.3603411163171305e-7,6.560427626120184e-7,1.2511115252403257e-6,2.332055395512797e-6,4.251327184919368e-6,7.584324310307082e-6,1.3248900162922931e-5,2.267656109306815e-5,3.8051594876221435e-5,6.263696490759732e-5,0.0001012079403681035,0.00016061584099784623,0.0002505047363885207,0.00038420335411566795,0.0005798129023111071,0.0008615093196957598,0.0012610762140840904,0.0018196832882111907,0.0025899254614607063,0.0036381414339798856,0.005047038464003024,0.006918664032449448,0.00937778623652451,0.012575774571726837,0.016695112690201085,0.021954726457488565,0.028616376352145978,0.03699244599487771,0.0474555627170418,0.06045061790109292,0.07650992343977228,0.09627245901317204,0.12050845123817272,0.1501509057170281,0.186336222436912,0.23045671403383455,0.2842287856529798,0.3497818241322661,0.42977462462661403,0.5275486573115065,0.647330937799207,0.7945041370712986,0.9759684717281928,1.2006297700792525,1.48006227694601,1.8294152819648148,2.268662616837208,2.82251358791716,3.486430609043659,4.195981345759952,4.827456803891516,5.209071934503292,5.202294740698417,4.862639161911115,4.329581536325716,3.7374114206804605,3.1833399428247926,2.7079562871810485,2.303563987821007,1.959561559802623,1.6669306895565421,1.4179998121954023,1.2062429949748636,1.0261088544667758,0.8728750223640153,0.7425243446153784,0.6316395683465558,0.5373137556960313,0.45707407598912936,0.38881697839782225,0.3307530455829395,0.2813600826105356,0.23934321132881714,0.20360092404609562,0.1731962065783186,0.1473319736325375,0.12533017254418344,0.1066140075550164,0.09069281862620869,0.07714921837190969,0.06562814989715822,0.055827578682146196,0.04749057449273278,0.040398575737820235,0.03436565969304371,0.02923366837985987,0.024868062320846658,0.021154393473915355,0.017995304880432536,0.015307978370498914,0.013021963414827675,0.011077330204744969,0.00942309854174775,0.008015901348634833,0.0068188477650291185,0.005800556022381849
2.985607485930171e-7,5.009462039654135e-7,8.303987459192271e-7,1.3602657847032399e-6,2.202452942510009e-6,3.5256529134421535e-6,5.581189979263081e-6,8.739219918527352e-6,1.3538838954855873e-5,2.075665405558431e-5,3.149957702094218e-5,4.7329054269074735e-5,7.042566225226643e-5,0.00010380501625214375,0.0001515982923602055,0.00021941338853175802,0.00031479589886031093,0.0004478127064293428,0.000631785193236085,0.0008842039250281057,0.001227862332805431,0.0016922535642965814,0.002315282558503831,0.0031453548177827347,0.004243914719323622,0.005688520038948865,0.007576556312672768,0.01002971556700428,0.013199389854726839,0.017273162255316842,0.022482618192544386,0.02911275016712376,0.03751329192304749,0.04811239697926764,0.06143317557196367,0.07811372872613558,0.09893147526056267,0.12483276582134353,0.15696902886668804,0.19674101154062856,0.24585308259050526,0.30638007966565955,0.3808498418433893,0.4723454124968356,0.5846319834800295,0.7223150527721863,0.8910380818599472,1.0977302960973365,1.3509183443527026,1.6611195555266565,2.041339811059047,2.5077060155223694,3.078471482351383,3.73987509690248,4.418889549154641,4.989762710803424,5.290953579354779,5.20499387397384,4.802813181937865,4.228269709548433,3.612630294378289,3.0469325760339125,2.56665153546167,2.162076101159658,1.821272970880683,1.5341898616248586,1.292359008860898,1.0886474024896924,0.9170463925439454,0.7724944588620624,0.6507279171745861,0.548155158050119,0.46175070926968664,0.3889659969076935,0.3276541729403858,0.27600679210714,0.23250047025384396,0.19585195080009127,0.164980253976786,0.13897479239319446,0.11706851247452392,0.09861526955350856,0.08307076927476541,0.0699765131621625,0.05894627480982999,0.049654707800371026,0.04182774933097317,0.035234536494073466,0.02968059677628632,0.025002111923472414,0.021061085979688827,0.01774127497715162,0.014944758219896723,0.012589050028186253,0.010604666752064184,0.008933077291022377,0.007524976668582892,0.006338831739385544,0.005339656133154292,0.004497978301455283,0.0037889722288935164
1.5148297469469809e-5,1.6929142144693107e-5,1.9165563409902036e-5,2.196936828490191e-5,2.5486882331694147e-5,2.9909754718025903e-5,3.5489494129412164e-5,4.255703993996589e-5,5.154914784386877e-5,6.304401563720772e-5,7.780945490419816e-5,9.686811117730852e-5,0.00012158585999334548,0.00015379170718725767,0.00019594049426517794,0.00025133370984583827,0.00032441906797842844,0.0004211966590133304,0.0005497689457927897,0.0007210843337295278,0.0009499402968319493,0.0012563330475788366,0.0016672675817060315,0.0022191757781406447,0.0029611322467028955,0.003959108770287453,0.005301569015566774,0.007106775367745723,0.009532257535561504,0.012786974022358755,0.017146775510402664,0.022973842082464405,0.030740796654900253,0.04106017053738858,0.05471978096565567,0.07272433345025121,0.09634313476099345,0.12716314136823154,0.1671456201686471,0.2186834208510814,0.2846542344294809,0.3684632656816652,0.47406656956466914,0.6059640737190471,0.769149321993855,0.9690016407325194,1.2111062796196685,1.5009897241174446,1.8437614419636699,2.243660339138703,2.703514440343718,3.224135629921492,3.8020748199809424,4.399466950161056,4.929602369517072,5.277744725138456,5.327233859307919,5.024899161336326,4.474860704185352,3.8203695324480282,3.1750606110381834,2.608258832464502,2.1402706905152846,1.756251554356085,1.4411352432413924,1.1825588334205874,0.9703776249033277,0.7962671355549569,0.6533965075998759,0.5361605133259323,0.4399596457989716,0.36101966691062304,0.2962435331076033,0.24308988942090623,0.1994733647644027,0.16368275679922414,0.13431389651965792,0.11021455864420573,0.0904392564872037,0.07421214778314782,0.0608965961519932,0.04997019401372264,0.04100426702892749,0.03364705596535927,0.02760991616646465,0.02265599318716105,0.018590930309311887,0.015255243365872515,0.012518063716016976,0.010272003890073511,0.008428944468678421,0.0069165769032391,0.005675566642559841,0.004657225266887844,0.0038216003004690117,0.003135907760438703,0.002573245946409626,0.002111540009004355,0.0017326758897054006,0.0014217896539796076,0.0011666843361611955
0.0026631986426767984,0.001453278610356198,0.0008437361034986961,0.0005201513933102995,0.00033983744677202243,0.0002348464405468095,0.00017132508944939532,0.00013168464535247542,0.00010643377032900238,9.028317920879103e-5,8.021771374217091e-5,7.451139718369355e-5,7.221328068110486e-5,7.287965984987788e-5,7.644400676171332e-5,8.317280388220566e-5,9.36856315467014e-5,0.0001090363568380542,0.00013086675209617412,0.0001616590101400811,0.00020513324817315954,0.0002668644355560106,0.0003552358567866666,0.0004829112199247676,0.0006691063485775406,0.0009430903721004476,0.0013495678662753102,0.00195691676990283,0.0028697174611943717,0.004247643267338764,0.0063336198519833775,0.009495196636933993,0.014284232043145268,0.021521064293395054,0.03240988270182123,0.048691257474872074,0.0728345246204961,0.1082653062387596,0.15960996328032404,0.2329176008936883,0.335791107681455,0.4773243586681394,0.6677109202396342,0.9173747582490686,1.2354963604850908,1.6278916014606288,2.0943621179339194,2.6258704474501546,3.2021597805092763,3.790651283221049,4.347491612156823,4.8213727212928,5.160052364539565,5.317360476018425,5.262511532791194,4.989283621645779,4.5198571637055664,3.9103441289705123,3.256460108609838,2.637088177009737,2.0977766322440443,1.655947630546937,1.3062167301819128,1.0303478894701457,0.8127416751029802,0.6410932047319321,0.5056963482294449,0.39889487944194774,0.31464954295618386,0.24819655499474522,0.19577822784200793,0.15443048553904654,0.12181525559150268,0.09608825901846448,0.07579472272472555,0.05978711709007123,0.04716026711943922,0.037200167912866504,0.02934361014624206,0.023146332522784845,0.018257900326008113,0.014401889542816444,0.011360256037109993,0.00896100590446936,0.007068469808921901,0.005575631349011935,0.004398075648685013,0.0034692159866315285,0.00273652854641058,0.002158582375434954,0.0017026966072216194,0.001343092470890685,0.0010594355904113536,0.0008356861456351702,0.0006591918756810953,0.0005199726371360247,0.00041015606129980985,0.00032353239883460414,0.00025520337981586226,0.00020130523342960256,0.0001587902050332799
