K,Ktilde,Lam1,Lam2,Lam3,MDD
4.0,4.0,1.2488488690016821,403.4287934927351,403.4287934927351,-1.1350639750411727e6
6.0,6.0,1.2488488690016821,95.1596070015067,403.4287934927351,-1.1263664729928125e6
8.0,8.0,1.2488488690016821,403.4287934927351,95.1596070015067,-1.125469152285403e6
10.0,10.0,5.29449005047003,403.4287934927351,403.4287934927351,-1.125363092611826e6
14.0,14.0,5.29449005047003,403.4287934927351,403.4287934927351,-1.1248801545887631e6
18.0,18.0,22.445970517581,5.29449005047003,403.4287934927351,-1.1246315584317592e6
22.0,22.0,22.445970517581,403.4287934927351,403.4287934927351,-1.121391123052869e6
