"","V1"
"1",0.405437661755059
"2",0.404429435180191
"3",0.398486964925269
"4",0.405625939969468
"5",0.411943626251286
"6",0.399833717262482
"7",0.401219548583867
"8",0.410217459387241
"9",0.420462595429399
"10",0.408764206697469
"11",0.40729942869757
"12",0.416138542213048
"13",0.422147505821613
"14",0.414059975249074
"15",0.412655368935702
"16",0.413754080957005
"17",0.418181042051856
"18",0.411891758854381
"19",0.408390430649433
"20",0.408402139669306
"21",0.425411513873769
"22",0.413401298832014
"23",0.413335129336247
"24",0.417248097820448
"25",0.418189651344164
"26",0.410687473307917
"27",0.41129316787692
"28",0.416135319194836
"29",0.417500269079483
"30",0.412054189639093
"31",0.407112124255491
"32",0.411647675344284
"33",0.41491537310003
"34",0.407672420076324
"35",0.400501599278414
"36",0.406515304448476
"37",0.420374204097698
"38",0.411057006850569
"39",0.411964091297705
"40",0.414911841000048
"41",0.411109596690494
"42",0.408074121933623
"43",0.411819680804001
"44",0.411816353395807
"45",0.409449575355211
"46",0.404411364957468
"47",0.402793073754765
"48",0.412593876130813
"49",0.413245302489031
"50",0.409354041786173
"51",0.409157014527864
"52",0.421931888565723
"53",0.423706547768234
"54",0.414072608723473
"55",0.411107221054863
"56",0.413895562329344
"57",0.4209758694019
"58",0.420913312884295
"59",0.412578842714538
"60",0.414493587345078
"61",0.421688899353285
"62",0.418132245289144
"63",0.415540667482674
"64",0.416702793570039
"65",0.418411245913376
"66",0.414759533603046
"67",0.415057035413611
"68",0.413372375611743
"69",0.413838091688376
"70",0.41292579881565
"71",0.406085635494492
"72",0.416849434782307
"73",0.409205389571071
"74",0.410271839972211
"75",0.408333467413286
"76",0.410110465182697
"77",0.413941902257648
"78",0.414163603148154
"79",0.421171766793123
"80",0.425604289981493
"81",0.442013989167663
"82",0.439670972000386
"83",0.441373551876495
"84",0.442644570006451
"85",0.449339376811167
"86",0.436437168245902
"87",0.438959340191559
"88",0.44693808769216
"89",0.443138637097491
"90",0.437765176497578
"91",0.436820427129987
"92",0.438845612072782
"93",0.436851406371716
"94",0.434988025547682
"95",0.434243262298878
"96",0.436575179822285
"97",0.431240156881813
"98",0.427488395565433
"99",0.425876416145456
"100",0.428451988219422
"101",0.427754733304937
"102",0.42170962708451
"103",0.416239442669848
"104",0.418039178059644
"105",0.421283583885725
"106",0.417406880411363
"107",0.416305895901587
"108",0.418470999423334
"109",0.420445606735484
"110",0.409608206979556
"111",0.413394704753046
"112",0.417482904686494
"113",0.412941454176234
"114",0.404183425338488
"115",0.404501080884984
