"","V1"
"1",0.444895244429664
"2",0.447425243734869
"3",0.433105997832877
"4",0.435650378527185
"5",0.454567886003331
"6",0.450373203380421
"7",0.448055930332393
"8",0.456924019607843
"9",0.449720494943785
"10",0.454990583804143
"11",0.444243707949165
"12",0.457746478873239
"13",0.464376267748479
"14",0.470340580620837
"15",0.454171153480712
"16",0.466771653543307
"17",0.458004997117048
"18",0.457984259964458
"19",0.452701397385537
"20",0.448922273024167
"21",0.470124753775443
"22",0.470619166557118
"23",0.465119408005382
"24",0.475566310412045
"25",0.471455976714957
"26",0.471160250432929
"27",0.463844439943285
"28",0.478778289880993
"29",0.47631759591183
"30",0.478031898886548
"31",0.465709023941068
"32",0.489134438305709
"33",0.490590183679615
"34",0.502168570189388
"35",0.484377302873987
"36",0.491038088125467
"37",0.494753833736885
"38",0.490190379305334
"39",0.480748392689446
"40",0.48160165179559
"41",0.48209009009009
"42",0.476292784116165
"43",0.478594794481582
"44",0.486241853729182
"45",0.480853195905805
"46",0.494548845215894
"47",0.477974683544304
"48",0.484956915437418
"49",0.480800714392023
"50",0.480734632683658
"51",0.465521487501539
"52",0.4759678324294
"53",0.490386398763524
"54",0.491070328858234
"55",0.482984854988043
"56",0.482015282350749
"57",0.474352651048089
"58",0.50745261608293
"59",0.488711224816118
"60",0.496509824198552
"61",0.504778071168113
"62",0.511864192856241
"63",0.508086785009862
"64",0.509571382533033
"65",0.504840397697541
"66",0.524159529592228
"67",0.507826199909073
"68",0.519599080694586
"69",0.522031416400426
"70",0.52266822551312
"71",0.509591164503003
"72",0.535778175313059
"73",0.519820843639281
"74",0.526125095347063
"75",0.525156412930136
"76",0.526159026159026
"77",0.517277832837793
"78",0.524689794884781
"79",0.519855358316897
"80",0.512907653094569
"81",0.51550594840262
"82",0.506008934751148
"83",0.500197420373783
"84",0.525997502136331
"85",0.52061924462832
"86",0.530045132172792
"87",0.524743353514083
"88",0.534871594316256
"89",0.520151730678046
"90",0.52401717872481
"91",0.513745474051227
"92",0.531247937702105
"93",0.5167639473327
"94",0.524203227096946
"95",0.515976491251773
"96",0.515475633397954
"97",0.511374603612298
"98",0.5159477212704
"99",0.51245057917736
"100",0.522184769897503
"101",0.523347775256172
"102",0.531511165913139
"103",0.525459244255081
"104",0.518304172274563
"105",0.531280822882908
"106",0.537720264317181
"107",0.534972051024796
"108",0.532121041915327
"109",0.52627051824242
"110",0.523752382296887
"111",0.522722613271373
"112",0.523142339328036
"113",0.520687237026648
"114",0.52108843537415
"115",0.517592527565138
